Age,d (0.1),d (0.5),d (0.9),Result 0.02µm-3.89µm,Result 3.90µm-7.79µm,Result 7.80µm-15.59µm,Result 15.60µm-30.99µm,Result 31.00µm-62.49µm,Result 62.50µm-124.99µm,Result 125.00µm-249.99µm,Result 250.00µm-499.99µm,Result 500.00µm-1000.00µm,Result 1000.01µm-2000.00µm,Mode,Clay,Silt,Sand
740,1.01,4.06,16.55,48.44,23.89,16.57,7.51,2.61,0.77,0.08,0,0,0,3.92,48.44,50.57,0.85
750.35,1.79,7.9,29.83,27.25,22.18,23.42,17.71,7.28,1.63,0.36,0.02,0,0,9.47,27.25,70.59,2.02
760.7,1.69,8.77,41.61,26.17,19.92,22.55,16.66,9.2,4.54,0.82,0,0,0,10.29,26.17,68.33,5.37
771.06,1.69,8.27,31.91,25.71,22.02,25.41,16.3,6.79,3.04,0.59,0.01,0,0,9.77,25.71,70.52,3.63
781.41,1.6,7.14,30.6,29.62,23.4,22.8,14.22,6.55,2.56,0.68,0.03,0,0,7.59,29.62,66.97,3.26
791.76,1.79,7.12,28.38,28.88,24.34,23.25,14.75,6.56,1.77,0.3,0,0,0,7.24,28.88,68.9,2.07
802.11,,,,,,,,,,,,,,,,,
812.46,,,,,,,,,,,,,,,,,
822.81,,,,,,,,,,,,,,,,,
833.16,,,,,,,,,,,,,,,,,
843.51,,,,,,,,,,,,,,,,,
853.86,,,,,,,,,,,,,,,,,
864.21,,,,,,,,,,,,,,,,,
874.57,,,,,,,,,,,,,,,,,
884.92,,,,,,,,,,,,,,,,,
895.27,,,,,,,,,,,,,,,,,
905.62,,,,,,,,,,,,,,,,,
915.97,,,,,,,,,,,,,,,,,
926.32,,,,,,,,,,,,,,,,,
936.67,,,,,,,,,,,,,,,,,
947.02,,,,,,,,,,,,,,,,,
957.37,,,,,,,,,,,,,,,,,
967.72,,,,,,,,,,,,,,,,,
978.08,,,,,,,,,,,,,,,,,
988.43,,,,,,,,,,,,,,,,,
998.78,,,,,,,,,,,,,,,,,
1009.13,,,,,,,,,,,,,,,,,
1019.48,,,,,,,,,,,,,,,,,
1029.83,2.09,10.52,36.9,20.94,18.86,24.27,21.83,11.31,2.54,0.11,0.01,0,0,13.86,20.94,76.27,2.66
1040.18,1.9,10.96,53.54,21.55,17.47,22.54,18.5,12.09,6.75,0.97,0,0,0,12.08,21.55,70.6,7.73
1050.53,2.42,9.73,27.09,18.82,21.88,30.02,22.07,6.16,0.78,0.14,0,0,0,12.2,18.82,80.13,0.91
1060.88,1.3,5.04,31.85,40.93,22.68,16.09,9.86,6.06,3.48,0.76,0,0,0,3.85,40.93,54.69,4.24
1071.23,2.04,11.05,51.6,21.59,17.98,20.78,19.12,13.3,6,1.08,0.02,0,0,13.02,21.59,71.19,7.1
1081.59,1.74,8.47,46.47,27.39,20.09,19.48,16.03,10.68,5.34,0.84,0,0,0,6.56,27.39,66.29,6.19
1091.94,2.05,7.14,24.37,26.82,26.65,25.41,14.76,5.09,0.99,0.13,0,0,0,7.27,26.82,71.91,1.11
1102.29,2.48,12.62,40,17.84,16.91,22.81,25.26,14.15,2.54,0.34,0.03,0,0,19.35,17.84,79.13,2.91
1112.64,2.65,16.04,48.28,15.74,13.46,19.71,27.01,18.9,4.42,0.59,0.06,0,0,23.55,15.74,79.08,5.07
1122.99,1.49,6.49,30.55,33.77,21.84,19.78,14.7,7.33,2.08,0.35,0,0,0,5.07,33.77,63.66,2.43
1133.34,2.79,13.47,42.01,15.18,16.01,24.59,26.23,13.77,3.41,0.71,0,0,0,17.56,15.18,80.59,4.11
1143.69,2.96,12.82,37.77,14.63,17.28,26.24,26.64,12.26,2.74,0.09,0,0,0,16.64,14.63,82.41,2.83
1154.04,2.49,11.38,39.27,17.91,18.89,24.88,22.86,11.7,3.31,0.32,0.01,0,0,14.64,17.91,78.32,3.63
1164.39,3.01,16.26,53.64,13.7,14.06,20.69,25.18,19.39,6.69,0.18,0,0,0,22.74,13.7,79.32,6.87
1174.74,2.39,12.04,41.08,18.3,17.26,23.94,23.73,12.59,3.46,0.57,0.02,0,0,16.24,18.3,77.52,4.05
1185.1,2.41,11.25,38.9,18.62,18.58,25.13,22.77,10.63,3.94,0.21,0,0,0,14.63,18.62,77.1,4.15
1195.45,2.47,11.81,45.89,17.83,18.15,23.82,21.61,13.09,5.01,0.37,0,0,0,13.8,17.83,76.67,5.38
1205.8,2.28,12.6,47.75,18.84,16.7,21.28,22.1,15.64,4.73,0.51,0.08,0,0,18.36,18.84,75.72,5.32
1216.15,1.59,6.09,24.01,33.71,25.26,21.86,12.57,4.91,1.32,0.19,0.03,0,0,5.91,33.71,64.59,1.54
1226.5,2.92,13.06,42.14,14.69,17.23,24.87,25.12,14.22,3.57,0.16,0.01,0,0,16.64,14.69,81.44,3.74
1236.85,2.45,12.11,39.65,17.5,17.38,24.68,24.25,12.75,2.97,0.23,0.14,0,0,16.03,17.5,79.05,3.33
1247.2,1.89,7.87,26.66,25.14,24.37,26.48,16.43,6.47,0.97,0,0,0,0,8.88,25.14,73.74,0.97
1257.55,2.78,9.76,32.81,16.49,23.49,30.06,18.93,6.48,2.04,0.85,1.18,0.35,0,10.14,16.49,78.96,4.41
1267.9,2.07,9.26,30.63,22.84,21.01,25.36,20.92,8.47,1.2,0.06,0.01,0,0,12.71,22.84,75.75,1.27
1278.25,1.94,9.7,35.23,23.53,19.39,23.02,20.99,10.96,1.97,0,0,0,0,14.18,23.53,74.37,1.97
1288.61,2.14,9.81,35.68,21.62,20.46,23.95,20.66,11.19,1.98,0,0,0,0,11.82,21.62,76.26,1.98
1298.96,3.39,10.96,27.13,12.37,21.1,34.79,24.62,6.1,0.69,0.19,0,0,0,12.39,12.37,86.61,0.88
1309.31,1.96,8.86,31,23.9,21.47,25,19.49,8.58,1.42,0,0,0,0,10.94,23.9,74.54,1.42
1319.66,2.47,11.61,35.25,18.15,18.26,24.77,25.21,11.9,1.39,0.19,0.01,0,0,17.21,18.15,80.14,1.59
1330.01,2.24,11.89,36.77,18.81,16.86,24.77,25.06,11.98,2.17,0.23,0,0,0,16.65,18.81,78.66,2.4
1340.36,2.05,8.92,27.55,22.35,22.22,28.07,19.51,6.58,1.11,0.02,0,0,0,11.01,22.35,76.38,1.13
1350.71,2.47,10.25,36.54,18.48,21.1,26.24,20.67,10.42,2.9,0.05,0,0,0,11.04,18.48,78.43,2.95
1361.06,1.82,8.86,41.44,25.6,20.29,21.33,17.3,10.8,4.18,0.37,0,0,0,8.97,25.6,69.73,4.54
1371.41,3.41,13.16,41.84,11.92,16.9,28.61,25.61,12.44,4.13,0.26,0,0,0,14.15,11.92,83.57,4.39
1381.76,2.52,14.48,46.17,16.7,14.75,21.11,25.76,17.02,4.31,0.22,0,0,0,21.45,16.7,78.64,4.54
1392.12,2.7,14.61,45.8,15.73,15,21.57,26.27,16.81,4.23,0.28,0.01,0,0,21.15,15.73,79.64,4.51
1402.47,2.68,13.85,44.96,16.26,15.76,22.24,25.56,15.47,4.04,0.54,0.02,0,0,19.68,16.26,79.02,4.6
1412.82,2.27,12.7,44.74,18.62,15.91,22.83,23.86,13.51,4.44,0.71,0,0,0,17.22,18.62,76.11,5.14
1423.17,2.61,13.14,44.36,16.54,16.59,22.92,24.31,15.31,4.08,0.12,0,0,0,18.26,16.54,79.13,4.21
1433.52,2.41,13.52,49.74,17.52,15.79,21.42,23.11,16,5.6,0.45,0,0,0,18.93,17.52,76.32,6.04
1443.87,2.5,12.93,45.83,16.68,16.35,23.84,23.71,14.1,4.7,0.51,0,0,0,16.01,16.68,77.99,5.21
1454.22,2.35,11,42.52,18.84,19.06,24.75,21,11.12,3.89,0.6,0.44,0.17,0,12.67,18.84,75.93,5.11
1464.57,2.55,15.23,55.88,15.94,14.43,20.33,23.18,18.2,7.13,0.68,0,0,0,21.71,15.94,76.14,7.82
1474.92,2.3,12.74,47.32,18.85,16.52,21.09,22.45,15.85,4.84,0.27,0,0,0,19.41,18.85,75.92,5.11
1485.27,2.3,14.63,57.19,17.88,14.78,19.19,21.78,18.02,7.56,0.68,0,0,0,22.91,17.88,73.77,8.24
1495.63,1.67,7.23,30.18,30.09,22.28,21.79,16.15,7.1,1.91,0.51,0.02,0,0,7.02,30.09,67.32,2.45
1505.98,1.6,6.73,29.21,31.83,23.07,21.61,14.23,6.33,2.17,0.63,0,0,0,6.66,31.83,65.23,2.8
1516.33,1.72,7.85,35.92,28.49,21.19,21.26,16.4,8.88,2.89,0.71,0.04,0,0,7.95,28.49,67.73,3.64
1526.68,1.45,5.41,20.39,37.54,25.97,20.94,10.74,3.37,0.95,0.34,0,0,0,5.18,37.54,61.02,1.29
1537.03,,,,,,,,,,,,,,,,,
1547.38,,,,,,,,,,,,,,,,,
1557.73,,,,,,,,,,,,,,,,,
1568.08,,,,,,,,,,,,,,,,,
1578.43,,,,,,,,,,,,,,,,,
1588.78,,,,,,,,,,,,,,,,,
1599.14,,,,,,,,,,,,,,,,,
1609.49,,,,,,,,,,,,,,,,,
1619.84,,,,,,,,,,,,,,,,,
1630.19,,,,,,,,,,,,,,,,,
1640.54,,,,,,,,,,,,,,,,,
1650.89,,,,,,,,,,,,,,,,,
1661.24,,,,,,,,,,,,,,,,,
1671.59,,,,,,,,,,,,,,,,,
1681.94,,,,,,,,,,,,,,,,,
1692.29,,,,,,,,,,,,,,,,,
1702.65,2.69,13.25,39.65,16.12,16.31,23.8,26.63,14.36,2.46,0.21,0,0,0,18.97,16.12,81.09,2.66
1713,2.46,11.07,33.42,18.72,19,25.63,24.63,10.09,1.42,0.36,0.01,0,0,16.05,18.72,79.35,1.79
1723.35,1.64,7.02,23.88,29.81,24.02,25.08,15.2,4.73,0.88,0.13,0,0,0,8.73,29.81,69.03,1.01
1733.7,1.81,8.24,30.95,26.54,21.52,23.13,18.69,8.56,1.26,0.13,0.02,0,0,9.91,26.54,71.91,1.41
1744.05,1.94,9.97,38.09,23.58,18.85,21.79,20.83,12.11,2.57,0.15,0,0,0,15.56,23.58,73.58,2.72
1754.4,1.82,8.55,29.84,24.99,21.61,25.08,18.92,7.67,1.52,0.07,0,0,0,10.84,24.99,73.28,1.59
1764.75,1.83,7.68,27.61,26.84,23.61,24.93,16.41,6.23,1.57,0.27,0,0,0,8.86,26.84,71.18,1.83
1775.1,2.71,14.58,52.06,15.32,15.1,21.87,24.37,16.27,5.82,0.83,0.29,0.01,0,19.45,15.32,77.62,6.95
1785.45,2.9,18.64,71.99,13.78,12.18,18.16,23.27,19.69,9.95,2.15,0.7,0.04,0,24.06,13.78,73.29,12.83
1795.8,2.58,14.86,49.9,16.04,14.64,20.89,24.75,17.76,5.32,0.35,0.13,0,0,21.85,16.04,78.05,5.8
1806.16,2.33,12.82,43.22,17.76,16.14,23.08,24.17,14.82,3.56,0.34,0.03,0,0,17.64,17.76,78.2,3.92
1816.51,2.18,10.15,32.91,19.83,19.96,27.56,21.33,8.62,2.32,0.24,0,0,0,12.23,19.83,77.47,2.57
1826.86,1.99,9.93,34.81,22.04,19.51,24.88,21,9.81,2.29,0.33,0.01,0,0,12.8,22.04,75.2,2.63
1837.21,1.81,7.85,28.73,26.36,23.28,24.51,17.09,7.14,1.27,0.2,0.01,0,0,8.56,26.36,72.02,1.48
1847.56,1.98,8.32,26.14,24.04,23.31,27.45,18.2,5.83,1,0.02,0,0,0,10.28,24.04,74.79,1.02
1857.91,2.11,8.1,25.84,23.24,25.04,27.72,17.05,5.85,0.9,0.05,0,0,0,9.01,23.24,75.67,0.94
1868.26,2.11,10.87,34.92,19.92,18.3,25.6,23.24,10.68,2.07,0.06,0,0,0,14.42,19.92,77.82,2.13
1878.61,2.62,13.23,39.79,15.81,15.81,24.95,26.61,13.5,2.75,0.35,0.11,0,0,17.54,15.81,80.87,3.21
1888.96,2.6,13.61,48.36,16.34,16.04,22.33,23.84,15.61,4.98,0.69,0.05,0,0,18.41,16.34,77.82,5.72
1899.31,2.19,9.51,37.07,20.88,21.58,25.68,18.58,9.15,3.24,0.73,0.02,0,0,10.13,20.88,75,3.99
1909.67,2.13,7.22,28.67,24.6,28.69,25.21,12.33,6.17,2.37,0.47,0,0,0,6.94,24.6,72.4,2.84
1920.02,1.61,7.45,27.02,28.89,22.65,24.3,16.35,6.11,1.34,0.22,0,0,0,9.23,28.89,69.41,1.55
1930.37,1.89,8.67,29.86,25.55,20.82,24.19,20.08,7.76,1.26,0.19,0,0,0,13.15,25.55,72.86,1.45
1940.72,1.64,7.21,23.18,29.44,23.34,25.72,16.6,4.22,0.49,0.06,0,0,0,10,29.44,69.87,0.54
1951.07,1.79,7.7,23.06,27.27,23.09,27.25,17.92,3.95,0.34,0.04,0,0,0,11,27.27,72.2,0.38
1961.42,2.6,9.26,42.36,17.7,24.38,29.98,15.33,4.45,3.1,1.8,2.27,0.85,0,9.48,17.7,74.13,8.02
1971.77,1.95,7.86,26.6,25.96,23.64,25.31,17.82,6.04,0.89,0.19,0,0,0,9.4,25.96,72.81,1.08
1982.12,1.88,8.25,31.51,26.35,21.66,23.01,18.52,8.48,1.63,0.2,0.01,0,0,10.09,26.35,71.67,1.84
1992.47,1.65,7.77,25.34,27.95,22.09,25.91,17.59,5.33,0.86,0.12,0,0,0,10.69,27.95,70.92,0.98
2002.82,1.78,8.29,27.64,26.08,21.64,25.3,19.17,6.91,0.76,0,0,0,0,11.31,26.08,73.02,0.76
2013.18,1.87,8.15,27.61,25.81,22.47,25.17,18.74,6.97,0.7,0,0,0,0,10.28,25.81,73.35,0.7
2023.53,1.72,6.72,21.39,29.65,26.26,25.8,14.02,3.74,0.38,0,0,0,0,7.8,29.65,69.81,0.38
2033.88,1.62,6.98,28.8,31.1,22.47,21.82,15.71,6.66,1.4,0.62,0.08,0,0,7.08,31.1,66.65,2.1
2044.23,1.55,7.91,32.93,29.46,20,21.53,17.75,8.44,2.13,0.53,0.03,0,0,11.36,29.46,67.71,2.69
2054.58,2.6,14.82,54.52,16.1,14.81,20.72,23.51,17.22,6.56,0.94,0.03,0,0,20.44,16.1,76.26,7.53
2064.93,1.77,9.21,37.93,25.82,19.12,21.17,19.4,11.41,2.87,0.08,0,0,0,13.72,25.82,71.1,2.95
2075.28,1.84,8.55,30.72,25.34,21.38,24.09,19.24,8.51,1.25,0.05,0,0,0,10.73,25.34,73.22,1.3
2085.63,1.13,4.68,26.03,43.85,21.64,16.28,10.15,5.29,2.09,0.56,0,0,0,3.69,43.85,53.37,2.65
2095.98,1.57,7.64,30.18,29.14,21.47,23.3,16.41,7.17,2,0.39,0,0,0,9.62,29.14,68.34,2.38
2106.33,1.68,7.44,24.06,28.21,23.47,26.09,16.65,4.95,0.44,0.06,0,0,0,9.53,28.21,71.15,0.5
2116.69,1.7,7.27,27.21,28.59,23.87,24.03,15.49,6.28,1.36,0.22,0,0,0,8.01,28.59,69.69,1.58
2127.04,1.22,4.7,19.67,43.22,23.85,18.37,10.35,3.43,0.57,0.07,0,0,0,4.05,43.22,56,0.63
2137.39,1.47,4.54,13.1,42.82,31.03,19.33,5.92,0.72,0,0,0,0,0,4.64,42.82,57,0
2147.74,1.77,7.3,31.85,28.9,23.26,21.76,15.48,7.74,2.16,0.52,0.02,0,0,6.54,28.9,68.25,2.7
2158.09,1.54,7.08,28.8,31.44,21.55,21.7,16.51,6.93,1.24,0.5,0,0,0,8.22,31.44,66.68,1.74
2168.44,1.79,9.43,35.56,24.63,19.16,23.06,20.13,10.11,2.23,0.52,0.03,0,0,13.09,24.63,72.46,2.78
2178.79,1.64,8.09,32.61,28.11,20.61,22.25,17.93,8.57,1.93,0.44,0.02,0,0,10.32,28.11,69.36,2.39
2189.14,1.96,9.96,33.96,23.03,19.05,23.21,22.32,10.85,1.23,0.17,0.02,0,0,16.1,23.03,75.42,1.42
2199.49,1.94,10.66,41.27,22.49,17.99,21.49,21.03,13.42,3.3,0.14,0.02,0,0,16.13,22.49,73.93,3.45
2209.84,1.66,8.2,31.57,27.78,20.52,22.46,18.73,8.7,1.42,0.24,0.01,0,0,11.04,27.78,70.41,1.68
2220.2,1.59,8.41,31.98,27.36,20.12,22.9,18.86,8.85,1.54,0.24,0.01,0,0,11.42,27.36,70.73,1.78
2230.55,1.51,7.17,29.51,31.02,21.63,21.81,16.29,7.5,1.4,0.21,0,0,0,8.11,31.02,67.23,1.61
2240.9,2.29,9.01,28.7,21.02,23.09,27.73,19.54,7.35,1.07,0.05,0,0,0,10.41,21.02,77.71,1.12
2251.25,2.63,10.86,34.59,17.17,20.23,26.81,23.04,10.84,1.73,0.05,0,0,0,12.82,17.17,80.91,1.78
2261.6,2.58,12.95,35.14,16.11,15.78,26.03,28.32,12.24,1.26,0.14,0.01,0,0,17.67,16.11,82.37,1.41
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2541.08,1.9,7.52,24.11,25.93,25.47,26.95,15.62,4.8,0.85,0.22,0,0,0,8.55,25.93,72.85,1.07
2551.43,1.65,7.95,33.85,27.97,21.31,22.49,16.57,8.85,2.59,0.09,0,0,0,9.04,27.97,69.21,2.68
2561.78,1.63,7.65,33,29.09,21.45,22.09,16.17,8.3,2.43,0.33,0,0,0,8.7,29.09,68.02,2.75
2572.13,2.4,13.2,45.25,17.03,15.67,23.45,24.47,14.19,4.23,0.81,0.04,0,0,17.16,17.03,77.78,5.07
2582.48,1.72,9.87,45.12,24.13,18.56,21.35,18.52,11.75,4.47,1.1,0,0,0,11.24,24.13,70.18,5.57
2592.83,2.62,17.29,68.06,14.95,12.49,19.07,23.43,18.41,8.95,2.6,0,0,0,22.21,14.95,73.39,11.56
2603.18,1.57,7.63,31.46,29.1,21.53,22.51,16.47,7.6,2.23,0.42,0,0,0,8.94,29.1,68.11,2.65
2613.53,1.53,6.47,24.99,32.64,23.82,22.54,14.19,5.27,1.14,0.25,0,0,0,7,32.64,65.82,1.39
2623.88,1.59,6.45,24.11,32.21,24.62,22.95,13.9,4.92,1.02,0.22,0,0,0,6.82,32.21,66.39,1.25
2634.24,1.34,5.6,26.46,37.89,22.51,18.95,12.84,5.99,1.51,0.17,0,0,0,4.41,37.89,60.29,1.68
2644.59,1.56,5.43,18.22,36.07,28.98,21.72,9.45,2.83,0.61,0.17,0,0,0,5.53,36.07,62.98,0.78
2654.94,1.96,7.98,24.05,24.24,24.69,28.61,16.53,4.39,1.09,0.31,0,0,0,9.55,24.24,74.22,1.4
2665.29,1.76,9.24,33.06,24.15,19.81,25.19,19.51,8.4,2.34,0.45,0.02,0,0,11.91,24.15,72.92,2.8
2675.64,1.54,8.19,27.23,27.45,20.73,25.35,18.89,6.57,0.88,0,0,0,0,11.64,27.45,71.54,0.88
2685.99,1.53,7.41,28.51,29,22.72,23.62,15.92,6.72,1.6,0.28,0,0,0,8.48,29,68.97,1.88
2696.34,1.72,9.14,34.83,24.65,19.89,23.91,19.17,9.29,2.52,0.42,0.02,0,0,11.53,24.65,72.26,2.96
2706.69,1.52,6.03,27.49,34.91,23.53,19.84,13.38,6.3,1.59,0.29,0,0,0,4.78,34.91,63.06,1.88
,,,,,,,,,,,,,,,,,
2727.39,1.52,4.8,15.75,40.48,30.22,18.97,7.13,2.3,0.73,0.01,0,0,0,4.67,40.48,58.61,0.74
2737.75,1.94,6.65,18.69,27.65,29.68,27.87,11.56,2.37,0.6,0.1,0,0,0,7.5,27.65,71.48,0.7
2748.1,1.6,8,34.39,28.04,21.04,22.12,16.82,9.02,2.66,0.17,0,0,0,8.9,28.04,69,2.83
2758.45,1.7,8.26,39.73,27.04,20.99,21.4,16.16,10.03,3.86,0.38,0,0,0,8.15,27.04,68.58,4.25
2768.8,1.65,8.16,38.23,27.4,21,21.88,16.09,9.49,3.74,0.26,0,0,0,8.63,27.4,68.47,3.99
2779.15,1.76,8.39,40.81,26.63,20.94,20.9,16.47,10.47,4.09,0.36,0,0,0,7.56,26.63,68.79,4.45
2789.5,2.07,9,42.51,22.28,22.27,24.76,16.18,8.1,3.61,0.89,1.21,0.56,0,9.09,22.28,71.31,6.27
2799.85,1.58,8.09,36.92,28.49,20.28,21.08,16.85,9.77,3.21,0.19,0,0,0,8.79,28.49,67.98,3.4
2810.2,1.55,8.01,35.92,28.8,20.27,21.16,16.92,9.72,2.89,0.11,0,0,0,8.94,28.8,68.07,3
2820.55,1.59,8.79,33.9,26.84,19.32,22.4,19.47,9.4,2.14,0.26,0.05,0,0,13.03,26.84,70.58,2.45
2830.9,1.45,6.66,28.4,32.79,22.28,21.29,14.91,6.63,1.71,0.25,0,0,0,6.85,32.79,65.11,1.96
2841.26,1.44,6.08,25.44,34.93,23.38,21,13.49,5.35,1.41,0.3,0,0,0,5.77,34.93,63.22,1.71
2851.61,1.12,4.34,19.48,46.07,23.23,16.8,9.23,3.56,0.88,0.09,0,0,0,3.68,46.07,52.82,0.97
2861.96,0.99,2.89,9.92,63.41,22.05,9.7,3.87,0.83,0,0,0,0,0,2.7,63.41,36.44,0
2872.31,1.19,4.48,22.11,44.63,24.53,15.84,8.35,4.69,1.72,0.09,0,0,0,3.96,44.63,53.41,1.81
2882.66,1.83,8.51,31.7,25.36,21.53,24.01,18.53,8.34,1.83,0.24,0.02,0,0,10.32,25.36,72.42,2.09
2893.01,1.49,6.68,25.18,31.65,23.84,23.27,14.28,5.38,1.31,0.13,0,0,0,7.66,31.65,66.77,1.43
2903.36,1.49,7.14,26.51,30.52,22.42,23.2,16.56,6.2,0.92,0.04,0,0,0,8.77,30.52,68.37,0.97
2913.71,1.72,8.76,35.85,26.02,20.18,22.27,18.53,9.91,2.63,0.34,0,0,0,10.68,26.02,70.87,2.97
2924.06,2.1,10.3,36.13,21.09,19.29,24.66,21.53,10.32,2.58,0.39,0,0,0,13.59,21.09,75.8,2.98
2934.41,2.1,9.93,35.63,21.94,19.87,24.01,21.02,10.49,2.44,0.09,0,0,0,13.41,21.94,75.39,2.53
2944.77,1.87,7.91,25.91,25.74,23.61,26.39,17.27,5.47,1.16,0.22,0,0,0,9.73,25.74,72.73,1.38
2955.12,1.75,7.38,24.06,27.77,24.23,26.04,16.11,4.71,0.9,0.09,0,0,0,9.21,27.77,71.08,1
2965.47,1.75,7.94,28.32,27.21,22.03,25.44,16.56,5.38,1.68,0.46,0.8,0.3,0,10.52,27.21,69.41,3.24
2975.82,1.91,8.89,28.65,24.27,20.96,25.98,20.24,6.84,1.27,0.3,0,0,0,12.61,24.27,74.02,1.57
2986.17,2.49,10.1,29.21,18.14,21.03,30.03,21.86,6.97,1.56,0.27,0,0,0,12.21,18.14,79.89,1.83
2996.52,1.17,7.46,37.28,33.02,18.1,18.97,16.38,10.04,3.15,0.21,0,0,0,10.43,33.02,63.49,3.37
3006.87,1.69,7.93,34.9,27.57,21.76,22.45,16.14,8.5,2.98,0.47,0,0,0,8.44,27.57,68.84,3.45
3017.22,1.46,7.48,30.32,30.15,21.09,22.32,16.7,7.56,1.77,0.26,0.02,0,0,9.3,30.15,67.66,2.05
3027.57,1.46,7.78,37.64,31.07,18.91,19.31,17.02,9.66,3.07,0.49,0.32,0.02,0,12.02,31.07,64.91,3.9
3037.92,2.02,8.87,31.67,22.75,22.34,25.46,18.88,8.54,1.66,0.22,0,0,0,9.55,22.75,75.23,1.88
3048.28,1.66,10.76,45.17,24.78,16.38,19.82,20.44,13.32,4.34,0.79,0,0,0,17.84,24.78,69.97,5.13
3058.63,1.45,7.65,34.95,30.64,19.83,20.54,16.73,8.96,2.76,0.4,0.02,0,0,9.68,30.64,66.05,3.18
3068.98,1.56,6.96,30.32,31.44,22.16,21.26,15.37,7.34,2.13,0.17,0,0,0,6.73,31.44,66.12,2.29
3079.33,1.47,6.85,29.66,32.18,21.92,21.34,15.13,7.08,2.06,0.14,0,0,0,7.31,32.18,65.48,2.2
3089.68,1.29,4.89,18.29,41.41,25.46,19.8,9.85,2.74,0.58,0.01,0,0,0,4.57,41.41,57.84,0.59
3100.03,1.45,7.2,40.35,32.19,19.99,18.93,14.74,8.81,3.88,0.79,0.44,0.1,0,5.73,32.19,62.47,5.21
3110.38,1.43,5.22,23.71,39.03,24.77,18.53,10.85,4.67,1.73,0.26,0,0,0,4.27,39.03,58.83,1.99
3120.73,1.64,7.43,32.84,29.31,22.18,21.67,15.73,8.32,2.5,0.16,0,0,0,7.34,29.31,67.9,2.65
3131.08,1.66,8.33,32.64,27.12,20.63,22.9,18.22,8.85,2.09,0.05,0,0,0,10.62,27.12,70.61,2.14
3141.43,1.91,9.41,37.75,23.95,19.89,22.67,19.33,10.76,2.94,0.34,0,0,0,11.63,23.95,72.65,3.27
3151.79,1.69,8.38,37.59,27.38,20.26,21.51,17.32,9.13,2.98,1.05,0.22,0,0,9.88,27.38,68.23,4.26
3162.14,1.67,7.49,29.02,28.49,22.81,23.66,15.96,6.39,1.84,0.6,0.11,0,0,8.62,28.49,68.82,2.55
3172.49,1.79,7.47,30.42,28.01,23.4,22.67,16.1,7.67,1.85,0.15,0,0,0,7.14,28.01,69.84,2
3182.84,2.15,8.86,26.58,22.15,22.65,28.4,19.64,5.8,0.96,0.24,0,0,0,11.24,22.15,76.49,1.21
3193.19,1.94,8.69,28.01,23.88,21.91,27.03,18.91,6.46,1.5,0.18,0,0,0,11.17,23.88,74.31,1.67
3203.54,1.79,7.55,27.5,27.98,23.08,24.15,16.71,6.21,1.42,0.3,0,0,0,9.11,27.98,70.15,1.72
3213.89,2,8.63,27.4,23.68,22.35,26.99,19.22,6.26,1.11,0.26,0,0,0,11.13,23.68,74.82,1.36
3224.24,1.7,7.51,32.11,28.25,22.93,22.38,15.7,8.24,2.14,0.22,0,0,0,7.42,28.25,69.25,2.36
3234.59,1.56,7.67,35.6,29.59,20.83,20.66,16.3,9.3,2.74,0.45,0,0,0,7.51,29.59,67.09,3.19
3244.94,1.7,10.79,59.38,24.5,16.65,19.05,17.88,12.5,6.17,2.01,1.02,0.12,0,13.98,24.5,66.07,9.32
3255.3,1.68,7.4,34.89,29.69,21.91,20.65,15.63,8.51,2.83,0.58,0.05,0,0,6.14,29.69,66.71,3.46
3265.65,1.92,14.62,182.04,22.98,14.87,13.2,11.12,10.12,10.77,11.96,4.86,0.01,0,4.98,22.98,49.31,27.6
3276,1.6,10.14,66.85,26.97,16.72,16.57,17.02,11.9,5.12,2.93,2.25,0.41,0,20.81,26.97,62.21,10.7
3286.35,1.59,7.63,32.69,29.44,21.14,21.54,16.8,8.42,2.38,0.15,0,0,0,8.44,29.44,67.89,2.53
3296.7,1.52,8.83,84.75,29.33,17.52,16.18,13.36,10.18,6.64,3.93,2.49,0.27,0,5.16,29.33,57.23,13.32
3307.05,1.64,11.78,120.14,24.5,15.5,16.53,14.31,10.84,8.65,6.49,2.89,0.16,0,10.28,24.5,57.19,18.2
3317.4,1.66,9.56,59.12,25.73,18.29,19.87,16.12,10.53,5.67,1.93,1.43,0.33,0,10.04,25.73,64.8,9.35
