Age,LakeLevel
31301.989150090400,1279.4788273615600
30072.332730560600,1322.4755700325700
25804.701627486400,1382.084690553750
25117.540687160900,1342.9967426710100
22839.059674502700,1450.488599348530
22296.564195298400,1407.4918566775200
21211.573236889700,1516.9381107491900
20705.244122965600,1484.6905537459300
20198.915009041600,1517.915309446250
19620.253164557000,1540.3908794788300
19294.75587703440,1500.3257328990200
18969.258589511800,1540.3908794788300
18318.26401446660,1550.1628664495100
17377.938517179000,1551.14006514658
17377.938517179000,1448.5342019544000
14484.62929475590,1447.557003257330
12965.64195298370,1272.6384364820800
10000,1272.6384364820800
0,1272.6384364820800
