Depth,Top,Bottom,Na_ppb,NH4_ppb,K_ppb,Mg_ppb,Ca_ppb,Cl_ppb,NO3_ppb,SO4_ppb,Top,Bottom,Age
463.31,463.08,463.53,4.023,5.96,0.782,1.154,4.77,8.544,57.417,25.503,1914.7,1917.1,1915.9
463.765,463.53,464,2.92,3.061,0.508,1.13,4.228,7.764,65.477,21.181,1917.1,1919.5,1918.3
464.22,464,464.44,6,5.906,0.743,1.969,7.896,12.444,75.398,34.437,1919.5,1921.9,1920.7
464.67,464.44,464.9,4.138,4.304,0.626,1.398,4.77,9.75,62.501,30.306,1921.9,1924.2,1923.1
465.125,464.9,465.35,3.701,3.133,0.586,1.227,5.351,9.218,64.051,29.346,1924.2,1926.2,1925.2
465.58,465.35,465.81,6.46,4.232,0.547,1.701,7.034,13.862,62.253,21.997,1926.2,1928.4,1927.3
466.04,465.81,466.27,5.127,13.073,1.486,1.653,6.633,11.487,69.508,35.589,1928.4,1930.5,1929.5
466.50,466.27,466.72,2.92,14.603,0.782,1.507,9.699,8.544,73.91,26.416,1930.5,1932.8,1931.7
466.95,466.72,467.18,4.897,3.565,0.626,1.337,4.489,10.92,61.137,22.093,1932.8,1935.2,1934.0
467.41,467.18,467.63,2.782,6.032,0.665,1.252,6.673,8.651,79.614,36.118,1935.2,1937.0,1936.1
467.86,467.63,468.09,2.782,23.535,0.938,1.325,6.012,8.863,97.782,35.926,1937.0,1939.5,1938.3
468.32,468.09,468.54,4.253,7.347,1.017,1.556,7.495,10.99,75.646,25.791,1939.5,1941.6,1940.6
468.74,468.54,468.93,4,21.914,0.938,1.653,8.016,10.246,83.521,26.944,1941.6,1943.8,1942.7
469.35,469.24,469.45,2.667,8.157,0.547,1.434,5.691,7.8,77.506,34.341,1945.6,1946.5,1946.1
469.68,469.45,469.91,5.081,4.43,0.704,1.616,6.373,13.437,80.234,30.21,1946.5,1948.3,1947.4
470.14,469.91,470.36,6.069,3.655,1.134,1.507,4.569,13.685,69.694,28.289,1948.3,1950.2,1949.3
470.59,470.36,470.81,4.92,7.383,0.782,1.616,6.413,10.99,74.096,31.891,1950.2,1952.6,1951.4
471.04,470.81,471.27,8.736,5.582,1.838,1.884,7.134,18.577,72.856,34.533,1952.6,1954.8,1953.7
471.50,471.27,471.72,5.104,5.618,0.743,2.029,8.878,9.218,70.314,31.795,1954.8,1957.0,1955.9
471.95,471.72,472.18,2.575,13.901,0.665,1.227,5.451,7.8,62.129,30.162,1957.0,1959.1,1958.1
472.41,472.18,472.63,2.299,26.2,1.251,1.276,4.97,7.764,84.265,28.049,1959.1,1961.2,1960.2
472.815,472.63,473,6.046,8.481,1.134,1.653,5.491,13.118,66.655,20.556,1961.2,1962.8,1962.0
473.27,473,473.54,5.15,5.006,0.508,1.009,2.505,12.089,81.412,30.066,1962.8,1965.8,1964.3
473.77,473.54,474,4.345,4.286,0.626,1.92,8.858,11.983,81.164,49.566,1965.8,1968.2,1967.0
474.225,474,474.45,5.15,8.283,0.782,1.288,4.669,11.132,70.748,29.874,1968.2,1970.3,1969.3
474.675,474.45,474.9,3.035,3.997,0.626,1.179,4.87,7.551,54.316,37.222,1970.3,1972.3,1971.3
475.13,474.9,475.36,2.874,3.493,0.743,1.337,6.353,8.048,67.151,37.991,1972.3,1974.2,1973.3
475.61,475.36,475.85,6.529,11.218,1.447,1.957,10.521,12.976,79.118,26.8,1974.2,1977.0,1975.6
478.5,478.4,478.6,2.598,6.969,0.586,1.276,6.373,7.622,82.715,26.992,1989.6,1990.4,1990.0
478.8,478.6,479,3.035,6.266,0.704,0.997,4.208,7.764,59.401,23.342,1990.4,1992.2,1991.3
479.2,479,479.4,5.012,3.043,0.547,2.37,7.816,10.423,52.642,64.311,1992.2,1993.8,1993.0
479.645,479.4,479.89,3.701,1.873,0.352,1.325,5.431,8.473,57.789,21.517,1993.8,1996.1,1995.0
480.12,479.89,480.35,5.885,3.565,0.586,2.2,9.198,11.664,73.6,27.953,1996.1,1998.4,1997.3
480.575,480.35,480.8,4.414,6.662,0.586,2.029,8.277,10.033,72.236,46.348,1998.4,2001.6,2000.0
481.025,480.8,481.25,5.38,3.637,0.743,2.516,6.333,14.11,62.501,327.268,2001.6,2004.0,2002.8
481.475,481.25,481.7,3.724,10.714,0.782,1.556,7.776,10.6,79.676,51.967,2004.0,2006.1,2005.1
481.93,481.7,482.16,3.219,8.085,0.665,1.811,7.575,10.21,99.642,40.152,2006.1,2008.6,2007.4
482.39,482.16,482.61,5.288,4.574,0.821,1.592,5.311,12.196,86.807,34.533,2008.6,2011.0,2009.8
482.84,482.61,483.06,7.173,9.003,0.782,2.163,10.681,12.905,70.934,34.533,2011.0,2014.0,2012.5
483.29,483.06,483.52,3.609,4.106,0.586,1.519,6.673,10.069,86.869,35.685,2014.0,2016.5,2015.3
483.75,483.52,483.97,4.115,5.888,0.547,1.325,5.05,10.778,74.716,34.629,2016.5,2018.6,2017.6
484.20,483.97,484.42,4.368,3.583,0.547,1.786,8.277,9.679,72.236,37.559,2018.6,2021.0,2019.8
484.65,484.42,484.87,3.908,4.394,0.508,1.385,5.09,9.466,70.438,40.296,2021.0,2023.4,2022.2
485.10,484.87,485.33,4.23,5.366,0.821,1.568,8.377,9.998,81.908,34.389,2023.4,2026.8,2025.1
485.56,485.33,485.78,3.701,3.421,0.586,1.434,5.11,9.395,71.12,45.003,2026.8,2029.2,2028.0
486.01,485.78,486.23,4.575,4.196,0.665,1.385,4.87,10.423,69.569,34.629,2029.2,2031.3,2030.3
486.46,486.23,486.68,5.334,3.889,0.626,1.92,7.615,11.522,71.244,36.982,2031.3,2033.5,2032.4
486.91,486.68,487.13,4.069,8.481,0.665,1.276,7.635,9.643,74.406,30.498,2033.5,2035.7,2034.6
487.36,487.13,487.59,3.15,4.646,0.469,1.495,5.471,7.977,70.128,44.09,2035.7,2038.0,2036.9
487.82,487.59,488.04,3.609,5.69,0.626,1.215,4.188,8.686,71.43,35.493,2038.0,2039.9,2039.0
488.27,488.04,488.49,5.449,4.934,0.977,1.726,5.431,13.791,79.8,43.418,2039.9,2041.9,2040.9
488.72,488.49,488.94,3.334,3.511,0.86,1.628,5.691,8.438,82.343,34.293,2041.9,2044.1,2043.0
489.17,488.94,489.39,4.115,12.317,0.743,1.446,4.489,10.849,76.452,49.95,2044.1,2046.4,2045.3
489.62,489.39,489.85,5.77,9.886,0.938,2.491,9.078,15.635,84.141,65.415,2046.4,2049.5,2048.0
490.075,489.85,490.3,3.242,3.403,0.508,1.312,4.429,14.146,84.141,66.376,2049.5,2052.1,2050.8
490.525,490.3,490.75,3.425,11.164,0.704,1.264,4.81,9.005,73.662,38.519,2052.1,2054.2,2053.2
490.975,490.75,491.2,4.46,4.466,0.508,1.628,7.535,9.679,76.948,37.751,2054.2,2056.5,2055.4
491.425,491.2,491.65,3.379,5.186,0.547,1.47,5.711,11.239,68.019,34.148,2056.5,2058.6,2057.6
491.875,491.65,492.1,3.54,5.222,0.43,1.24,5.952,10.104,76.018,33.476,2058.6,2060.7,2059.7
492.325,492.1,492.55,3.517,3.493,0.43,1.191,4.549,10.636,78.932,25.695,2060.7,2062.6,2061.7
492.775,492.55,493,3.471,6.086,0.977,1.118,4.369,9.714,84.389,28.673,2062.6,2064.9,2063.8
493.23,493,493.46,4.966,4.304,0.547,1.896,7.134,10.423,59.091,53.216,2064.9,2067.1,2066.0
493.69,493.46,493.91,3.931,2.953,0.508,1.191,3.808,10.778,77.506,29.49,2067.1,2069.3,2068.2
494.14,493.91,494.36,5.977,9.616,0.743,1.944,6.814,19.357,75.026,40.104,2069.3,2071.6,2070.5
494.47,494.36,494.58,3.885,4.015,0.586,1.762,8.918,10.14,82.715,36.598,2071.6,2072.6,2072.1
496.44,496.26,496.61,6.299,5.006,0.743,2.066,7.254,15.174,74.84,46.54,2081.0,2082.9,2082.0
496.84,496.61,497.06,5.472,10.318,1.095,2.139,8.437,13.472,107.268,50.574,2082.9,2085.2,2084.1
497.29,497.06,497.51,3.517,11.794,0.899,1.154,4.409,10.707,84.451,37.318,2085.2,2087.5,2086.4
497.755,497.51,498,3.839,24.759,0.704,1.507,5.892,10.494,70.624,43.85,2087.5,2089.8,2088.7
498.205,498,498.41,3.609,5.798,0.586,1.361,5.25,9.005,67.399,32.179,2089.8,2091.9,2090.9
498.64,498.41,498.86,4.414,8.931,0.704,1.483,5.691,10.069,61.819,34.677,2091.9,2094.8,2093.4
499.09,498.86,499.31,5.701,8.031,0.899,1.774,6.513,13.295,69.942,39.912,2094.8,2096.9,2095.9
499.54,499.31,499.76,4.529,8.967,0.821,2.953,11.182,12.054,88.109,72.956,2096.9,2099.3,2098.1
499.99,499.76,500.21,4.897,6.248,0.704,1.701,5.411,12.16,67.771,118.487,2099.3,2101.5,2100.4
500.42,500.21,500.63,4.391,4.106,0.704,1.726,6.553,10.388,65.353,54.128,2101.5,2103.5,2102.5
500.87,500.63,501.11,3.862,4.412,0.626,1.325,4.289,9.608,75.274,86.884,2103.5,2106.0,2104.8
501.35,501.11,501.58,2.897,5.078,0.704,1.191,4.208,8.686,69.383,39.24,2106.0,2108.1,2107.1
501.79,501.58,502,5.196,6.104,0.86,1.507,4.97,13.437,76.204,43.61,2108.1,2110.3,2109.2
502.23,502,502.46,4.621,8.679,0.782,1.361,5.331,11.345,66.965,34.052,2110.3,2112.6,2111.5
502.69,502.46,502.91,4.598,11.758,0.743,1.312,4.088,11.664,68.887,39.047,2112.6,2114.8,2113.7
503.14,502.91,503.36,5.058,5.834,0.782,1.592,5.09,12.728,77.072,61.141,2114.8,2117.7,2116.3
503.59,503.36,503.81,3.242,6.428,0.743,1.434,6.293,13.011,85.691,68.585,2117.7,2120.0,2118.9
504.04,503.81,504.26,4.92,10.102,0.782,2.115,9.058,11.274,72.298,51.055,2120.0,2122.2,2121.1
504.42,504.26,504.57,5.862,6.879,0.704,1.92,5.671,13.011,85.691,68.585,2122.2,2124.5,2123.4
505.075,504.95,505.2,4.207,13.829,1.134,1.361,4.028,12.267,87.365,80.448,2126.8,2128.3,2127.6
505.405,505.2,505.61,4.161,4.07,0.665,2.102,6.733,11.593,87.179,131.167,2128.3,2130.5,2129.4
505.84,505.61,506.06,4.713,13.379,0.704,1.507,6.252,24.143,80.792,35.013,2130.5,2132.9,2131.7
506.29,506.06,506.51,4.069,6.482,0.547,1.495,6.653,10.565,71.554,24.831,2132.9,2135.2,2134.1
506.75,506.51,506.99,5.058,5.888,0.821,1.799,7.234,12.657,71.616,28.433,2135.2,2138.1,2136.7
507.20,506.99,507.41,3.173,4.448,0.665,1.069,4.168,8.509,84.513,24.831,2138.1,2140.2,2139.2
507.63,507.41,507.85,3.816,5.474,0.704,1.483,5.671,10.53,68.205,35.926,2140.2,2142.7,2141.5
508.075,507.85,508.3,2.943,3.673,0.665,1.13,4.749,8.438,70.81,29.538,2142.7,2144.7,2143.7
508.525,508.3,508.75,7.748,7.725,0.821,2.516,16.493,15.918,71.368,32.323,2144.7,2147.1,2145.9
508.975,508.75,509.2,5.678,2.773,0.704,1.616,7.615,12.019,73.476,26.368,2147.1,2149.4,2148.3
509.425,509.2,509.65,5.357,11.29,0.938,1.908,8.417,11.699,68.825,31.411,2149.4,2151.8,2150.6
509.875,509.65,510.1,4.184,22.202,0.86,1.106,5.01,8.225,64.175,20.556,2151.8,2154.0,2152.9
510.325,510.1,510.55,3.265,4.844,0.665,1.13,4.449,9.785,74.096,31.363,2154.0,2156.0,2155.0
510.775,510.55,511,3.632,16.566,1.329,1.653,7.154,10.317,95.178,33.428,2156.0,2158.4,2157.2
511.22,511,511.44,8.069,4.322,1.095,2.187,6.212,16.202,78.746,25.503,2158.4,2160.7,2159.6
511.67,511.44,511.89,3.15,8.301,0.899,1.495,5.731,8.721,94.557,29.346,2160.7,2163.1,2161.9
512.12,511.89,512.34,9.38,5.312,1.056,1.944,6.212,18.4,86.745,30.162,2163.1,2165.2,2164.2
512.57,512.34,512.79,4.506,3.907,0.704,1.3,4.369,9.927,58.843,30.883,2165.2,2167.5,2166.4
513.02,512.79,513.24,2.897,6.915,0.821,1.446,5.09,7.41,71.244,50.19,2167.5,2169.7,2168.6
513.46,513.24,513.68,6.069,5.042,0.899,1.762,5.271,12.799,74.096,43.994,2169.7,2171.9,2170.8
513.91,513.68,514.13,3.035,6.338,0.743,1.896,8.878,8.119,69.818,34.1,2171.9,2174.5,2173.2
514.36,514.13,514.58,6.207,4.61,0.743,2.102,9.178,11.983,66.717,36.502,2174.5,2176.7,2175.6
514.79,514.58,515,3.425,12.605,1.525,2.163,6.954,8.934,89.473,70.939,2176.7,2179.0,2177.9
515.24,515,515.48,3.954,5.564,0.86,1.24,6.112,12.94,75.212,24.207,2179.0,2181.5,2180.3
515.70,515.48,515.92,4.391,5.654,0.743,1.264,4.95,10.281,68.639,30.979,2181.5,2183.7,2182.6
516.15,515.92,516.37,4.46,3.961,0.782,1.215,4.529,10.175,68.267,26.512,2183.7,2186.0,2184.9
516.60,516.37,516.82,3.334,3.871,0.821,1.276,4.81,8.473,71.988,31.507,2186.0,2188.3,2187.2
517.05,516.82,517.27,5.862,5.51,0.977,1.604,4.97,14.11,85.443,39.72,2188.3,2190.6,2189.5
517.49,517.27,517.71,9.081,8.391,1.056,2.139,5.992,17.656,71.244,32.756,2190.6,2193.0,2191.8
517.94,517.71,518.16,3.173,4.646,0.665,1.13,3.307,8.083,67.895,39.384,2193.0,2195.1,2194.1
518.39,518.16,518.61,2.46,9.562,0.586,0.887,2.505,7.02,64.857,19.212,2195.1,2197.3,2196.2
518.90,518.61,519.19,3.081,13.325,1.017,1.082,4.329,16.521,80.358,34.293,2197.3,2199.8,2198.6
519.345,519.19,519.5,2.345,16.494,0.743,1.009,4.088,7.374,69.632,25.791,2199.8,2201.3,2200.6
519.725,519.5,519.95,4.483,4.574,0.782,1.616,5.671,17.549,83.707,83.666,2201.3,2203.5,2202.4
520.175,519.95,520.4,4.069,6.987,0.782,1.3,3.908,10.778,82.591,68.201,2203.5,2205.7,2204.6
520.62,520.4,520.84,3.931,9.183,0.782,1.252,5.551,10.494,76.08,37.991,2205.7,2208.4,2207.1
521.07,520.84,521.29,4.069,8.625,0.86,1.288,5.491,10.636,84.141,33.284,2208.4,2210.6,2209.5
521.52,521.29,521.74,4.621,3.097,0.86,1.385,6.092,11.699,79.614,30.546,2210.6,2213.0,2211.8
521.96,521.74,522.18,4.667,4.502,0.782,1.519,7.174,11.593,77.692,60.084,2213.0,2215.2,2214.1
522.41,522.18,522.63,3.586,9.796,0.626,1.628,6.693,10.884,93.131,33.236,2215.2,2217.4,2216.3
522.86,522.63,523.08,8.046,8.931,0.508,1.726,6.673,17.337,68.453,26.176,2217.4,2219.5,2218.5
523.30,523.08,523.52,3.196,14.315,0.469,1.106,3.667,8.58,69.073,36.598,2219.5,2221.6,2220.6
523.75,523.52,523.97,5.334,6.933,0.352,1.495,7.194,11.841,59.959,29.153,2221.6,2223.8,2222.7
524.19,523.97,524.41,3.563,9.958,0.665,1.519,6.252,9.537,78.312,32.564,2223.8,2226.1,2225.0
524.64,524.41,524.86,3.402,8.985,0.391,1.276,4.95,9.714,77.754,32.515,2226.1,2228.2,2227.2
525.09,524.86,525.31,5.012,12.785,0.586,1.665,5.932,11.31,61.757,26.944,2228.2,2230.7,2229.5
525.53,525.31,525.75,4.621,9.94,0.704,1.543,4.93,11.132,81.598,30.162,2230.7,2233.0,2231.9
525.975,525.75,526.2,6.575,5.096,0.782,1.628,5.15,14.217,69.259,27.617,2233.0,2235.2,2234.1
526.425,526.2,526.65,4.391,3.997,0.391,1.507,7.134,11.416,81.288,36.214,2235.2,2237.6,2236.4
526.87,526.65,527.09,3.127,7.833,0.391,1.41,4.669,8.792,74.096,41.929,2237.6,2240.1,2238.9
527.32,527.09,527.54,5.678,6.032,0.586,1.969,6.212,13.685,88.791,64.743,2240.1,2242.3,2241.2
527.77,527.54,528,4.23,4.538,0.586,1.13,3.487,9.608,61.571,31.123,2242.3,2244.2,2243.3
528.215,528,528.43,4.345,7.617,2.072,2.066,3.948,10.565,69.756,32.131,2244.2,2246.3,2245.3
528.65,528.43,528.87,5.862,12.983,1.955,1.738,6.373,14.323,95.178,52.928,2246.3,2248.3,2247.3
529.10,528.87,529.32,2.943,11.308,0.782,1.349,4.729,9.679,85.567,46.684,2248.3,2250.4,2249.4
529.54,529.32,529.76,3.816,9.454,1.603,1.252,4.629,10.388,79.8,34.052,2250.4,2252.8,2251.6
529.99,529.76,530.21,4.437,4.952,0.43,1.458,5.07,9.466,59.711,37.655,2252.8,2255.1,2254.0
530.44,530.21,530.66,4.345,4.592,0.508,1.641,6.633,10.884,80.73,51.391,2255.1,2257.5,2256.3
530.88,530.66,531.1,3.494,4.952,0.469,1.24,3.327,9.927,76.39,40.632,2257.5,2259.7,2258.6
531.325,531.1,531.55,3.931,5.456,0.547,1.531,4.99,11.451,77.816,26.704,2259.7,2262.2,2261.0
531.775,531.55,532,6.023,4.862,0.547,2.212,10.942,13.968,72.112,32.371,2262.2,2264.6,2263.4
532.22,532,532.44,4.069,3.727,0.43,1.325,4.309,10.21,73.476,38.471,2264.6,2267.2,2265.9
532.66,532.44,532.88,6.115,5.186,0.586,1.92,6.914,13.968,73.414,30.738,2267.2,2269.3,2268.3
533.11,532.88,533.33,5.587,5.078,0.821,1.823,9.539,11.487,68.887,30.979,2269.3,2271.6,2270.5
533.55,533.33,533.77,3.379,3.763,0.391,1.398,7.234,9.005,66.283,23.966,2271.6,2273.7,2272.7
534.00,533.77,534.22,4.943,5.186,0.586,1.835,7.936,11.664,75.708,38.327,2273.7,2276.0,2274.9
534.44,534.22,534.66,5.38,8.031,0.743,1.483,6.613,12.231,63.865,27.184,2276.0,2278.2,2277.1
534.89,534.66,535.11,5.77,4.556,0.313,1.726,7.876,12.763,59.587,31.363,2278.2,2280.4,2279.3
535.33,535.11,535.55,4,5.618,0.469,1.167,4.489,9.43,65.477,24.927,2280.4,2282.9,2281.7
535.775,535.55,536,3.724,5.996,0.586,1.483,5.19,9.856,72.112,39.384,2282.9,2285.0,2284.0
536.22,536,536.44,5.541,5.798,0.508,1.92,8.076,12.905,78.25,45.531,2285.0,2287.6,2286.3
536.66,536.44,536.88,1.77,3.781,0.274,0.96,4.309,5.743,59.401,24.399,2287.6,2289.4,2288.5
537.11,536.88,537.33,4.414,7.221,0.508,1.337,4.87,10.636,74.22,40.873,2289.4,2291.3,2290.4
537.55,537.33,537.77,4.874,7.815,1.017,1.847,5.711,12.869,71.864,50.862,2291.3,2293.8,2292.6
537.88,537.77,537.99,5.173,7.977,1.017,1.592,4.429,13.614,85.443,38.087,2293.8,2294.9,2294.4
539.275,539,539.55,4.483,6.644,0.704,1.665,6.232,10.21,68.143,35.253,2299.9,2302.7,2301.3
539.775,539.55,540,2.345,17.43,1.212,1.398,6.313,8.367,96.17,43.466,2302.7,2305.1,2303.9
540.22,540,540.44,7.61,6.428,0.782,2.929,13.507,15.777,85.939,47.597,2305.1,2307.7,2306.4
540.66,540.44,540.88,4.529,13.577,0.626,1.774,7.635,10.175,74.344,41.113,2307.7,2310.0,2308.9
541.10,540.88,541.32,3.862,8.139,1.408,1.495,6.333,10.246,79.242,35.589,2310.0,2312.4,2311.2
541.55,541.32,541.77,6.299,4.574,1.056,2.358,8.317,14.465,68.887,92.984,2312.4,2314.8,2313.6
541.99,541.77,542.21,4.184,6.807,0.665,1.786,8.597,10.92,79.862,30.162,2314.8,2316.8,2315.8
542.43,542.21,542.65,4.23,4.844,0.547,1.726,5.431,10.707,75.77,37.847,2316.8,2319.1,2318.0
542.875,542.65,543.1,5.357,4.556,0.743,1.604,5.852,12.019,73.972,30.834,2319.1,2321.4,2320.3
543.32,543.1,543.54,2.506,6.086,0.626,1.13,4.529,6.382,61.943,22.526,2321.4,2323.5,2322.5
543.77,543.54,544,4.805,6.771,0.821,1.604,6.593,9.537,71.802,31.891,2323.5,2325.8,2324.7
544.22,544,544.44,3.448,10.498,0.938,1.337,5.11,8.544,71.492,27.713,2325.8,2328.1,2327.0
544.66,544.44,544.87,5.495,4.106,0.977,1.993,11.162,10.707,70.996,25.215,2328.1,2330.3,2329.2
545.09,544.87,545.31,4.851,5.762,0.626,1.811,8.397,10.99,63.989,34.725,2330.3,2332.2,2331.3
545.55,545.31,545.78,3.15,7.455,0.586,1.24,4.389,8.154,72.67,22.574,2332.2,2334.4,2333.3
548.25,548.08,548.41,3.632,9.219,0.743,1.531,6.573,9.998,77.444,29.009,2346.7,2348.6,2347.7
548.64,548.41,548.86,4.621,5.42,0.782,1.519,7.435,10.6,74.654,25.743,2348.6,2350.6,2349.6
549.08,548.86,549.3,3.242,9.436,1.017,1.738,6.593,11.664,95.302,33.908,2350.6,2353.3,2352.0
549.52,549.3,549.74,7.357,5.888,1.095,2.722,9.86,16.805,90.961,112.099,2353.3,2355.7,2354.5
549.96,549.74,550.18,3.379,6.446,0.977,1.349,6.353,9.36,73.848,31.699,2355.7,2358.2,2357.0
550.40,550.18,550.62,4,7.689,0.743,1.361,5.571,10.317,77.63,26.464,2358.2,2360.5,2359.4
550.85,550.62,551.07,3.747,12.371,0.743,1.385,5.21,8.58,62.253,94.953,2360.5,2362.7,2361.6
551.29,551.07,551.51,2.253,7.599,0.704,1.009,3.968,7.622,77.754,33.62,2362.7,2365.0,2363.9
553.155,553,553.31,4.782,6.518,0.704,2.115,9.419,12.16,69.818,29.73,2372.8,2374.2,2373.5
553.54,553.31,553.76,6.805,3.601,1.173,1.859,5.932,15.245,73.848,46.876,2374.2,2376.2,2375.2
553.96,553.76,554.16,6.805,16.674,1.486,1.871,8.016,14.323,72.732,25.984,2376.2,2378.3,2377.3
554.38,554.16,554.6,4.138,37.94,1.525,1.58,8.156,10.033,74.964,32.083,2378.3,2380.6,2379.5
554.82,554.6,555.04,3.311,13.181,0.977,1.373,6.393,9.82,65.415,34.629,2380.6,2382.9,2381.8
555.26,555.04,555.48,3.15,6.356,0.821,1.337,5.471,8.083,67.275,29.057,2382.9,2385.3,2384.1
555.71,555.48,555.93,6.046,15.774,1.212,1.786,6.353,14.039,66.345,29.97,2385.3,2387.2,2386.3
556.15,555.93,556.37,2.92,7.419,0.899,1.106,4.329,8.012,75.894,25.551,2387.2,2389.4,2388.3
556.59,556.37,556.81,4.299,10.57,1.056,1.58,6.112,10.92,85.195,47.212,2389.4,2391.5,2390.5
558.26,558.06,558.46,2.759,8.229,0.977,1.349,5.551,7.339,72.67,31.459,2397.9,2400.1,2399.0
559.8,559.6,559.9,4.184,5.366,0.782,1.884,7.956,11.416,78.002,38.663,2406.1,2407.6,2406.9
560.12,559.9,560.34,4.575,4.844,1.525,1.568,6.834,9.608,75.708,35.349,2407.6,2409.8,2408.7
560.56,560.34,560.78,6,3.493,0.86,2.042,7.014,12.657,58.781,52.159,2409.8,2412.0,2410.9
561.00,560.78,561.22,2.851,8.787,1.056,1.604,5.25,8.438,71.306,39.192,2412.0,2414.7,2413.4
561.44,561.22,561.66,5.885,4.682,0.821,1.665,6.373,12.763,65.353,33.908,2414.7,2417.1,2415.9
561.88,561.66,562.1,5.908,4.862,0.821,1.957,7.014,14.394,68.887,39.528,2417.1,2419.4,2418.3
562.32,562.1,562.54,5.104,8.265,1.329,1.92,7.996,11.699,65.849,41.497,2419.4,2421.2,2420.3
562.77,562.54,563,4.759,18.187,0.977,1.349,4.148,12.692,73.104,31.987,2421.2,2423.5,2422.4
563.21,563,563.42,5.564,7.905,0.938,1.75,5.631,13.295,73.972,65.511,2423.5,2425.9,2424.7
563.64,563.42,563.86,2.897,6.032,1.173,1.276,4.79,9.182,81.102,35.445,2425.9,2428.2,2427.1
564.08,563.86,564.3,6.253,4.448,1.329,1.932,7.575,13.543,73.352,38.807,2428.2,2430.5,2429.4
564.52,564.3,564.74,3.931,6.158,0.977,1.543,5.792,10.388,75.584,36.79,2430.5,2432.8,2431.7
564.96,564.74,565.18,4.598,5.618,0.899,1.385,4.108,14.217,77.63,35.157,2432.8,2435.3,2434.1
565.40,565.18,565.62,7.495,2.413,0.938,1.799,4.549,17.868,54.192,46.54,2435.3,2437.7,2436.5
565.82,565.62,566.02,4.46,18.115,1.251,1.884,7.776,10.813,72.298,62.582,2437.7,2439.8,2438.8
566.26,566.02,566.5,5.058,6.735,1.173,2.285,11.864,11.416,72.112,48.413,2439.8,2442.7,2441.3
566.72,566.5,566.94,3.839,4.844,0.821,1.288,5.571,8.509,60.083,23.63,2442.7,2444.9,2443.8
567.16,566.94,567.38,4.759,14.207,0.938,2.042,7.335,12.55,81.474,45.531,2444.9,2447.4,2446.2
567.60,567.38,567.82,4.828,4.015,0.821,1.604,6.373,10.388,73.6,32.323,2447.4,2449.8,2448.6
568.04,567.82,568.26,6.713,5.222,1.212,2.333,5.591,15.068,69.011,74.301,2449.8,2452.2,2451.0
568.48,568.26,568.7,12.92,6.176,1.368,2.686,6.874,26.483,70.066,28.337,2452.2,2454.6,2453.4
568.92,568.7,569.14,6.529,4.07,0.977,2.333,10.581,14.11,77.878,31.987,2454.6,2456.7,2455.7
569.36,569.14,569.58,5.472,7.779,1.017,2.151,8.998,11.806,72.918,40.969,2456.7,2459.3,2458.0
569.79,569.58,570,3.242,31.386,0.938,1.312,4.77,7.622,65.043,24.543,2459.3,2461.5,2460.4
570.225,570,570.45,7.702,5.276,0.899,2.066,8.377,15.706,65.415,26.224,2461.5,2463.8,2462.7
570.67,570.45,570.89,5.977,9.508,1.173,2.054,8.697,12.763,76.638,27.761,2463.8,2466.3,2465.1
570.91,570.89,570.92,5.242,3.871,0.86,1.398,4.008,12.231,62.315,44.667,2466.3,2466.4,2466.4
571.55,571.33,571.77,2.966,2.971,0.665,1.094,4.188,7.197,72.918,24.927,2468.8,2470.7,2469.8
571.99,571.77,572.21,3.379,11.668,0.938,1.385,5.832,10.175,71.802,27.569,2470.7,2472.9,2471.8
572.43,572.21,572.65,4.299,13.685,1.056,1.604,8.697,11.912,100.076,28.961,2472.9,2475.7,2474.3
572.87,572.65,573.09,7.104,16.8,1.095,1.908,5.551,16.734,82.343,33.14,2475.7,2478.0,2476.9
573.31,573.09,573.53,3.288,7.041,1.017,1.167,3.687,7.906,73.104,51.103,2478.0,2480.0,2479.0
573.75,573.53,573.97,2.506,7.905,0.743,0.875,3.186,6.878,62.625,30.114,2480.0,2481.8,2480.9
574.185,573.97,574.4,3.655,6.915,0.899,1.361,4.128,9.395,70.562,41.689,2481.8,2484.5,2483.2
574.62,574.4,574.84,2.851,8.103,0.743,1.106,4.048,8.58,77.816,26.704,2484.5,2486.6,2485.6
575.02,574.84,575.2,4.161,4.844,0.704,0.984,2.786,9.714,61.633,18.587,2486.6,2488.2,2487.4
576.46,576.34,576.58,2.966,7.311,0.782,1.981,9.379,7.268,70.314,41.881,2493.7,2495.6,2494.7
576.79,576.58,577,4.575,6.302,0.86,1.604,5.311,10.671,75.398,29.25,2495.6,2498.8,2497.2
577.235,577,577.47,4.644,6.122,0.899,1.592,6.373,11.77,76.018,30.066,2498.8,2501.8,2500.3
577.69,577.47,577.91,3.563,6.843,1.056,1.47,4.89,10.033,74.22,32.275,2501.8,2504.1,2503.0
578.13,577.91,578.35,3.908,7.779,0.899,1.495,6.693,10.21,82.467,33.572,2504.1,2506.7,2505.4
578.57,578.35,578.79,6.391,6.735,0.86,1.823,6.293,14.358,75.336,32.9,2506.7,2508.8,2507.8
579.01,578.79,579.22,6.598,7.257,1.447,1.665,6.974,13.862,66.655,30.642,2508.8,2511.0,2509.9
579.44,579.22,579.66,2.759,7.725,0.782,1.446,4.449,8.58,81.598,38.087,2511.0,2513.2,2512.1
579.88,579.66,580.1,4.115,7.077,0.782,1.531,6.092,9.466,70.314,33.62,2513.2,2515.5,2514.4
