Depth,Top,Bottom,Na_ppb,NH4_ppb,K_ppb,Mg_ppb,Ca_ppb,Cl_ppb,NO3_ppb,SO4_ppb,Top,Bottom,Age
40.34,40.09,40.59,4.598,3.781,0.782,1.325,6.012,6.736,60.145,38.423,59.6,61.1,60.4
40.80,40.59,41.01,5.058,23.589,2.463,1.835,13.427,9.218,68.825,32.179,61.1,62.1,61.6
41.31,41.01,41.61,7.357,2.341,1.994,1.604,8.016,14.181,60.145,30.258,62.1,63.8,63.0
41.91,41.61,42.21,10.345,8.283,1.29,2.99,14.429,19.145,73.166,48.989,63.8,65.6,64.7
42.51,42.21,42.81,5.747,3.961,0.977,1.592,7.415,10.636,79.986,88.373,65.6,67.5,66.6
42.96,42.81,43.11,7.817,3.241,0.899,1.726,7.615,14.89,62.625,35.061,67.5,68.7,68.1
44.35,44.11,44.59,4.138,8.283,1.056,1.361,10.822,12.409,81.226,48.509,71.6,72.8,72.2
44.89,44.59,45.18,6.897,4.142,0.977,1.628,8.818,17.017,68.205,33.62,72.8,74.9,73.9
45.36,45.18,45.54,4.138,2.341,0.821,1.179,8.016,8.863,66.965,30.738,74.9,76.0,75.5
45.65,45.54,45.76,6.897,2.341,0.704,1.179,6.212,14.181,48.984,29.298,76.0,76.7,76.4
46.06,45.76,46.35,8.506,3.601,1.056,2.127,8.818,18.79,78.126,51.391,76.7,78.3,77.5
46.64,46.35,46.93,4.138,6.302,1.447,1.057,6.613,17.017,80.606,36.502,78.3,80.2,79.3
47.19,46.93,47.45,2.529,9.904,1.095,0.936,6.012,12.054,71.926,27.376,80.2,82.1,81.2
47.77,47.45,48.09,5.058,12.605,1.173,1.106,7.214,12.054,73.166,29.298,82.1,84.4,83.3
48.38,48.09,48.67,5.288,5.762,0.821,1.276,8.417,12.409,70.686,39.384,84.4,86.4,85.4
48.98,48.67,49.28,7.587,42.136,3.832,1.641,9.619,16.308,93.627,49.47,86.4,88.4,87.4
49.55,49.28,49.82,5.058,2.521,0.665,0.936,4.208,10.99,58.905,34.581,88.4,90.1,89.3
50.11,49.82,50.39,5.977,2.521,0.743,1.276,7.615,10.99,58.905,36.502,90.1,91.8,91.0
50.68,50.39,50.96,8.506,4.682,1.564,2.163,11.222,17.372,70.066,34.581,91.8,94.1,93.0
51.25,50.96,51.53,6.667,3.421,1.173,1.75,10.621,16.308,83.707,60.516,94.1,95.5,94.8
51.81,51.53,52.09,2.529,3.961,0.977,0.79,5.812,6.027,67.585,24.495,95.5,97.1,96.3
52.36,52.09,52.62,6.437,3.601,1.173,1.312,10.621,13.472,70.686,32.66,97.1,98.9,98.0
52.93,52.62,53.23,4.598,4.322,0.782,1.179,10.02,9.927,68.205,26.896,98.9,100.9,99.9
53.51,53.23,53.79,6.207,5.222,0.938,1.422,8.016,14.181,59.525,24.975,100.9,102.7,101.8
54.07,53.79,54.35,3.448,7.203,1.368,1.191,9.619,7.8,76.886,32.179,102.7,104.7,103.7
54.63,54.35,54.91,9.426,5.042,1.368,1.495,11.623,16.663,61.385,50.43,104.7,107.0,105.9
55.19,54.91,55.47,5.747,5.582,1.173,1.519,9.018,11.345,66.345,28.337,107.0,109.1,108.1
55.78,55.47,56.08,6.437,6.302,1.564,1.556,13.226,10.636,66.345,31.699,109.1,111.2,110.2
56.33,56.08,56.58,5.288,3.781,1.447,1.106,7.214,11.345,63.865,27.376,111.2,112.9,112.1
56.86,56.58,57.14,6.897,18.007,1.329,2.066,13.427,14.89,68.825,57.154,112.9,114.9,113.9
57.39,57.14,57.64,3.908,6.122,1.525,1.556,7.014,9.927,63.865,27.376,114.9,116.8,115.9
57.94,57.64,58.24,9.426,3.781,1.408,2.321,11.022,17.372,60.765,101.821,116.8,118.5,117.7
58.52,58.24,58.79,3.908,2.701,0.782,1.373,6.613,7.445,53.944,85.491,118.5,120.0,119.3
59.06,58.79,59.33,3.219,5.222,1.447,1.203,8.417,7.8,57.045,26.896,120.0,121.3,120.7
59.61,59.33,59.88,4.138,1.981,1.368,1.142,8.016,7.445,57.045,26.416,121.3,122.8,122.1
60.15,59.88,60.42,5.288,4.502,1.251,1.264,9.218,9.572,75.026,26.416,122.8,124.7,123.8
60.77,60.42,61.11,7.127,5.042,1.564,1.726,8.617,14.181,67.585,36.502,124.7,127.3,126.0
61.355,61.11,61.6,5.977,7.023,1.955,1.762,9.218,17.727,71.926,37.462,127.3,129.1,128.2
61.845,61.6,62.09,6.207,8.823,2.62,1.118,7.615,12.054,70.066,24.495,129.1,130.7,129.9
62.345,62.09,62.6,5.058,3.421,1.329,1.252,8.216,9.927,70.686,35.541,130.7,132.7,131.7
62.87,62.6,63.14,5.518,3.781,1.329,1.154,5.812,10.281,65.105,127.276,132.7,135.1,133.9
63.41,63.14,63.67,4.138,3.961,1.212,0.984,5.611,9.572,68.825,42.746,135.1,137.3,136.2
63.94,63.67,64.21,6.897,2.881,1.368,1.373,10.22,11.345,72.546,34.581,137.3,139.2,138.3
64.48,64.21,64.75,6.207,3.601,1.408,2.37,14.83,11.699,66.965,99.9,139.2,140.9,140.1
65.02,64.75,65.28,4.368,6.843,1.447,1.215,8.417,10.636,65.105,26.416,140.9,142.4,141.7
65.55,65.28,65.81,4.598,11.344,1.564,1.118,7.014,10.636,67.585,27.857,142.4,144.4,143.4
66.08,65.81,66.34,2.989,4.142,1.29,1.045,6.814,7.8,78.746,28.337,144.4,146.4,145.4
66.61,66.34,66.88,4.138,3.601,1.447,0.741,5.411,9.572,66.345,23.534,146.4,147.9,147.2
67.15,66.88,67.41,6.897,4.142,2.229,1.24,7.014,13.472,62.625,24.014,147.9,150.2,149.1
67.76,67.41,68.11,5.747,10.264,3.206,1.276,7.615,12.763,88.047,27.857,150.2,152.7,151.5
68.29,68.11,68.46,6.897,3.781,0.977,1.215,5.812,13.472,62.625,28.337,152.7,153.8,153.3
68.73,68.46,68.99,8.276,5.042,1.017,1.908,12.625,21.626,75.646,47.068,153.8,155.4,154.6
69.25,68.99,69.51,5.747,11.884,1.447,1.349,9.218,13.118,83.707,29.298,155.4,157.5,156.5
69.80,69.51,70.09,5.058,7.923,0.938,1.871,12.224,10.636,71.306,30.258,157.5,159.7,158.6
70.33,70.09,70.56,9.656,4.142,1.017,2.066,13.427,18.79,70.066,35.061,159.7,161.6,160.7
70.83,70.56,71.09,4.368,4.682,0.743,1.142,9.018,10.99,76.886,31.219,161.6,163.8,162.7
71.345,71.09,71.6,4.368,3.781,0.86,1.483,10.421,7.445,57.045,36.502,163.8,165.3,164.6
71.86,71.6,72.12,7.357,2.881,1.681,1.993,10.621,12.763,64.485,42.746,165.3,166.7,166.0
72.36,72.12,72.59,6.667,3.241,1.759,1.944,10.02,13.118,63.245,167.14,166.7,168.8,167.8
72.90,72.64,73.15,3.678,5.042,0.86,1.227,10.421,9.927,73.166,27.376,169.0,171.0,170.0
73.41,73.15,73.67,5.058,3.601,0.704,1.543,10.822,13.472,63.245,38.423,171.0,173.1,172.1
73.93,73.67,74.18,5.288,3.601,1.329,1.726,14.228,11.699,70.686,38.423,173.1,175.2,174.2
74.44,74.18,74.7,2.989,6.843,0.665,0.887,7.014,8.154,75.026,22.574,175.2,176.9,176.1
74.955,74.7,75.21,3.908,7.203,0.782,1.215,8.016,9.218,81.846,30.738,176.9,178.8,177.9
75.47,75.21,75.73,3.219,5.582,0.782,1.045,9.419,6.736,61.385,30.738,178.8,181.0,179.9
75.99,75.73,76.24,6.207,2.881,0.665,1.543,8.216,12.763,63.865,29.298,181.0,182.8,181.9
76.50,76.24,76.75,4.138,2.341,0.704,1.288,6.613,10.99,65.725,69.161,182.8,185.4,184.1
76.875,76.75,77,5.747,2.701,0.704,1.519,9.218,13.472,68.205,36.502,185.4,186.3,185.9
77.255,77,77.51,4.598,2.701,1.095,0.936,4.008,10.281,53.324,25.455,186.3,188.1,187.2
77.80,77.51,78.09,6.437,5.942,1.329,2.066,10.22,18.081,76.266,54.753,188.1,190.6,189.4
78.31,78.09,78.53,3.908,3.061,0.547,0.826,4.409,8.863,60.145,23.054,190.6,191.8,191.2
78.78,78.53,79.03,7.127,3.241,0.899,1.957,12.826,14.536,53.944,33.14,191.8,193.7,192.8
79.29,79.03,79.54,6.207,3.241,0.782,1.556,8.818,13.827,63.245,39.384,193.7,195.6,194.7
79.82,79.54,80.09,4.828,5.222,0.821,1.325,8.016,12.054,71.926,42.265,195.6,197.7,196.7
80.32,80.09,80.55,5.977,7.383,1.017,1.41,7.615,14.181,69.445,22.093,197.7,199.4,198.6
80.82,80.55,81.09,5.518,3.241,0.782,1.385,9.619,15.245,62.005,27.376,199.4,200.9,200.2
81.32,81.09,81.55,6.897,2.161,1.447,1.045,10.02,13.472,58.285,20.652,200.9,202.4,201.7
81.80,81.55,82.05,3.219,3.601,1.095,0.911,10.822,7.8,66.345,30.258,202.4,204.6,203.5
82.30,82.05,82.55,9.196,2.521,1.134,1.41,7.816,17.372,55.184,26.416,204.6,206.7,205.7
82.825,82.55,83.1,6.667,4.862,0.626,1.118,6.814,12.763,57.045,26.896,206.7,208.9,207.8
83.325,83.1,83.55,16.093,6.302,7.35,1.227,4.409,26.944,64.485,42.265,208.9,211.0,210.0
83.82,83.55,84.09,7.357,3.601,3.441,1.604,8.818,14.89,63.245,66.76,211.0,213.1,212.1
84.32,84.09,84.54,2.989,4.142,0.391,0.79,5.01,7.8,67.585,34.1,213.1,214.7,213.9
84.79,84.54,85.04,9.426,6.122,0.704,2.066,12.024,18.081,71.306,40.344,214.7,216.4,215.6
85.29,85.04,85.53,5.747,11.344,0.821,1.227,7.816,12.409,57.665,23.534,216.4,218.3,217.4
85.78,85.53,86.03,6.437,7.203,1.212,1.349,4.409,16.663,63.245,55.713,218.3,219.9,219.1
86.15,86.03,86.27,10.115,1.441,1.329,1.337,4.409,20.563,44.023,47.068,219.9,220.7,220.3
86.52,86.27,86.76,7.817,4.862,5.787,1.556,27.054,16.663,83.087,60.036,220.7,222.5,221.6
86.92,86.76,87.08,10.575,3.961,5.826,1.398,7.615,20.917,70.066,36.982,222.5,223.8,223.2
87.29,87.08,87.5,2.069,5.582,0.899,0.839,5.812,13.472,99.208,30.738,223.8,225.6,224.7
87.745,87.5,87.99,5.747,3.781,0.899,1.252,5.01,12.054,64.485,30.738,225.6,227.2,226.4
88.18,87.99,88.36,3.908,8.103,0.938,1.215,6.814,9.927,81.226,39.864,227.2,228.5,227.9
88.54,88.36,88.72,8.276,3.241,0.704,1.641,8.016,16.663,55.184,34.581,228.5,229.9,229.2
88.97,88.72,89.21,6.437,4.502,0.704,1.774,11.623,13.472,66.965,44.667,229.9,231.9,230.9
89.455,89.21,89.7,5.288,7.563,0.782,0.948,4.409,11.699,63.865,32.66,231.9,233.7,232.8
89.945,89.7,90.19,4.138,7.203,2.033,1.337,7.214,9.927,70.066,31.699,233.7,236.2,235.0
90.43,90.19,90.67,10.805,5.042,2.072,2.564,14.228,20.208,60.145,38.903,236.2,237.9,237.1
90.92,90.67,91.16,8.966,5.222,10.322,0.972,7.214,19.854,71.306,36.982,237.9,239.8,238.9
91.40,91.16,91.64,5.977,4.682,1.408,1.568,7.415,14.89,66.345,28.337,239.8,241.6,240.7
91.88,91.64,92.12,2.989,3.601,0.86,1.094,4.609,7.445,62.005,29.778,241.6,243.8,242.7
92.35,92.12,92.58,3.908,10.984,1.916,1.446,7.816,19.854,80.606,39.384,243.8,245.9,244.9
92.84,92.58,93.09,5.747,7.923,1.525,1.604,8.617,13.827,81.226,28.337,245.9,247.8,246.9
93.34,93.09,93.59,5.288,7.383,2.541,1.434,8.818,10.281,73.786,45.147,247.8,250.2,249.0
93.84,93.59,94.09,8.736,7.563,2.15,1.896,7.615,19.145,68.205,32.66,250.2,251.8,251.0
94.31,94.09,94.53,5.977,4.502,3.597,1.057,4.609,13.472,62.005,34.581,251.8,253.3,252.6
94.77,94.53,95.01,4.138,5.222,2.15,1.434,7.615,10.99,71.926,73.004,253.3,254.7,254.0
95.25,95.01,95.49,8.506,3.601,2.385,2.564,12.224,16.308,57.665,63.878,254.7,256.8,255.8
95.73,95.49,95.96,5.518,3.781,1.564,1.701,8.417,17.372,61.385,36.982,256.8,258.6,257.7
96.03,95.96,96.09,5.058,2.161,0.821,1.58,4.81,8.863,54.564,21.133,258.6,259.1,258.9
96.36,96.09,96.63,3.908,2.521,1.056,1.009,6.212,9.218,62.625,24.495,259.1,261.0,260.1
96.86,96.63,97.09,8.506,2.341,0.782,1.604,6.413,16.663,52.704,24.975,261.0,262.6,261.8
97.34,97.09,97.59,4.138,3.061,0.743,1.13,5.21,9.572,66.345,20.652,262.6,264.7,263.7
97.84,97.59,98.09,5.747,4.502,1.838,1.227,8.216,13.118,76.886,28.817,264.7,266.4,265.6
98.34,98.09,98.58,4.368,3.781,1.681,0.924,4.81,11.345,58.285,23.534,266.4,268.3,267.4
98.82,98.58,99.05,4.598,3.421,2.58,1.24,6.814,12.409,71.926,29.298,268.3,270.0,269.2
99.29,99.05,99.52,6.437,4.502,1.056,1.641,8.617,15.245,62.625,24.975,270.0,271.7,270.9
99.82,99.52,100.11,6.897,4.682,4.887,1.361,9.419,15.245,52.084,28.337,271.7,273.6,272.7
100.29,100.11,100.46,4.598,3.781,0.938,1.13,6.012,11.345,66.965,46.588,273.6,275.2,274.4
100.70,100.46,100.93,2.989,3.061,0.626,1.203,7.214,7.445,64.485,43.226,275.2,276.8,276.0
101.165,100.93,101.4,6.207,5.942,1.408,1.847,11.824,12.763,85.567,30.258,276.8,279.0,277.9
101.635,101.4,101.87,4.138,3.781,1.095,1.276,8.016,10.281,63.865,27.376,279.0,280.9,280.0
102.11,101.87,102.34,5.977,3.781,1.486,1.969,10.822,15.599,70.066,67.24,280.9,282.5,281.7
102.58,102.34,102.81,4.828,4.322,0.938,1.094,7.014,13.827,73.166,54.753,282.5,284.1,283.3
103.04,102.81,103.27,4.598,4.502,0.665,1.337,6.613,11.345,58.285,39.384,284.1,286.9,285.5
103.51,103.27,103.74,6.207,6.302,1.134,1.665,8.216,14.536,79.986,46.108,286.9,288.8,287.9
103.97,103.74,104.2,4.138,5.042,1.486,1.142,5.812,10.636,75.646,42.265,288.8,291.0,289.9
104.435,104.2,104.67,6.667,2.341,0.821,1.3,6.012,13.472,54.564,35.541,291.0,292.6,291.8
104.88,104.67,105.09,7.357,14.045,0.704,0.984,5.611,10.636,58.285,26.416,292.6,294.0,293.3
105.23,105.09,105.36,8.506,16.206,4.965,1.677,13.226,15.599,72.546,28.337,294.0,294.9,294.5
105.60,105.36,105.83,6.437,5.222,1.799,1.373,7.615,14.181,64.485,36.982,294.9,296.8,295.9
105.96,105.83,106.08,6.207,3.061,1.877,1.604,9.419,10.99,56.424,30.738,296.8,297.9,297.4
106.2995,106.08,106.519,5.747,5.762,1.642,1.398,8.216,12.409,66.345,38.903,297.9,299.6,298.8
106.8095,106.519,107.1,4.138,6.662,1.251,1.215,5.812,9.218,63.245,30.258,299.6,302.0,300.8
107.27,107.1,107.44,3.448,3.061,0.977,1.045,5.01,9.572,66.965,26.896,302.0,303.1,302.6
107.67,107.44,107.9,6.667,4.682,0.782,1.871,12.024,12.763,66.345,57.154,303.1,304.7,303.9
108.13,107.9,108.36,4.598,13.865,1.29,1.276,7.816,12.054,74.406,35.061,304.7,306.9,305.8
108.48,108.36,108.59,4.598,4.502,1.017,1.325,6.613,9.572,63.865,53.792,306.9,307.6,307.3
108.82,108.59,109.05,14.484,6.122,11.104,1.47,7.014,24.463,71.306,117.671,307.6,309.8,308.7
109.32,109.05,109.59,9.196,4.322,6.138,1.373,8.216,17.727,68.205,51.391,309.8,312.0,310.9
109.78,109.59,109.96,4.828,6.122,0.86,1.24,7.214,10.99,72.546,36.982,312.0,313.2,312.6
110.19,109.96,110.42,6.437,7.023,2.033,1.361,7.014,17.017,75.026,44.186,313.2,314.6,313.9
110.65,110.42,110.87,5.058,9.363,1.838,1.215,6.012,11.345,75.026,40.824,314.6,316.4,315.5
111.10,110.87,111.33,5.977,5.222,3.402,1.142,8.016,12.763,61.385,39.864,316.4,318.2,317.3
111.56,111.33,111.78,7.587,7.023,5.044,1.154,7.816,17.372,83.087,38.423,318.2,319.7,319.0
112.01,111.78,112.24,4.138,4.502,1.173,1.24,7.816,10.636,64.485,25.936,319.7,321.2,320.5
112.47,112.24,112.69,5.747,5.042,1.525,1.3,8.818,13.472,58.285,33.62,321.2,323.3,322.3
