Age,HSG,Glass1,Glass2,DetCarb
10150,13.494845,10.494845,8.93825,7.246998
10220,17.463918,12.536082,17,7.138937
10290,19.467181,26.289575,16.320755,8.679245
10360,14.88417,24.057915,13.379074,13.241852
10430,12.119691,23.239382,8.295026,9.331046
10500,13.389262,24,7.941681,3.233276
10570,13.867257,13.39823,9.855918,4.144082
10640,11.882979,16,9.344768,6.379074
10710,9.387611,12.325664,7.818182,9
10780,9.852837,10,7.492281,6.761578
10850,9.368794,11,4.212693,6.946827
10920,11.669027,11.332743,2.295026,6
10990,10.718085,12.572695,7.487973,8.092784
11060,12,14.624779,11.797599,12
11130,16.977134,13.297256,8.497427,11.248714
11200,16.443598,20.233232,8.951973,11.951973
11270,16.089939,25.640244,14.389365,12.610635
11340,16.623476,23.506098,10.646655,16.70669
11410,15.429878,20.743902,11.108062,15.783877
11480,10.094512,16.47561,9.731959,16.268041
11550,4.759146,12.207317,7.085763,9.343053
