Age,LakeLevel
30117.071097433300,1265.1610770478000
29977.379162698400,1315.1587944998500
29367.183257117200,1281.3252945667500
29080.148916576800,1301.9088397572600
28615.40641159850,1277.881638082350
28330.73332756140,1322.9750257770500
28009.271867202900,1286.205067256460
27462.16873538970,1307.274559035350
27285.782874593700,1276.3893239722600
26855.84529047390,1313.637200809120
26620.90026839620,1274.9078716421000
26421.610219518100,1306.2771642883600
26216.5587047721,1277.8424412243900
25528.252434061900,1333.2233512526500
25494.297565544500,1280.7718160423800
25005.47024423260,1306.744220824710
24915.789722237500,1275.8604025155300
24427.8124532668,1310.6563505993700
24164.57957827960,1278.2991082321300
23596.414038457,1380.7408048736300
23533.368489819000,1326.3280100117300
22591.08546961460,1445.4302602891800
22562.608716184800,1449.8415596886300
22442.326309907000,1401.3101825251300
22131.5377289435,1475.3247121234800
21728.849044871700,1495.4161714587100
21264.248215283600,1472.859560334040
21065.241517186000,1507.1700340808000
19419.87076056070,1528.221580310270
18954.56155402160,1498.3120164343500
18669.32176842370,1537.5230419280400
18381.626276062400,1551.2438312173900
17716.885345255100,1551.23296943747
17590.0386458981,1434.564230112320
17185.791532534200,1438.4791933947800
16579.279187098100,1442.881047768220
15856.92359761040,1444.8300288860400
15134.426332732500,1445.3084194536100
13239.848564749600,1279.5911877907300
3.0224083242210300,1281.3356840953600
