Age,EEI ,lower bound,upper bound
50,0.0682583019725877,0.0214480394317841,0.113055589418821
150,0.0698125497550332,0.0262286951934807,0.113081377442819
250,0.0702591486379111,0.029451139676149,0.112050409899019
350,0.0693072211339875,0.0308516990554535,0.109605824722594
450,0.0665447019460106,0.030548156278844,0.105642303728107
550,0.0614797492572944,0.0266413270241124,0.0995055461636267
650,0.0541667696715049,0.0196894066468102,0.0907399978385096
750,0.045218962973303,0.0111529928303156,0.0807285832083555
850,0.0351530422694298,0.00214956136392178,0.0693364213130563
950,0.0243712005053124,-0.00800206247657194,0.0575272088705553
1050,0.013179307759186,-0.0191507303033552,0.0466521183403291
1150,0.00190444228874149,-0.031013952387194,0.0365268732959435
1250,-0.00905926680455472,-0.0441517101132585,0.0278261721379396
1350,-0.0193321403718539,-0.0576371402793516,0.0205543657208633
1450,-0.0285144633709417,-0.0699026912450169,0.0146951336668896
1550,-0.036158343224912,-0.0795860646719484,0.0108573843971591
1650,-0.0418224346272323,-0.0875765126074037,0.00786965121931962
1750,-0.0450463760525464,-0.0925937572237643,0.00569453920841315
1850,-0.0452387998722813,-0.0938876851942828,0.00375889084044822
1950,-0.0416741646017699,-0.0897766416085285,0.00310372094490906
2050,-0.0335740043551008,-0.078704370125257,0.00489948954190534
2150,-0.0215541955270765,-0.0614335456213477,0.0113175189922548
2250,-0.00765535944614318,-0.042477106379851,0.0274490361105237
2350,0.00596763863735922,-0.0311892443420738,0.0488826885312647
2450,0.0171435830209085,-0.0267660662528013,0.0662411764981707
2550,0.0238182416455119,-0.0260047304636339,0.0757649274651785
2650,0.025546933704238,-0.0263530055636573,0.0777235844814527
2750,0.0233414877913434,-0.0284279812546851,0.0746367020532167
2850,0.0182083192665139,-0.0313113015699585,0.0672116875297896
2950,0.0110742276839305,-0.0342012524440618,0.0556239551193411
3050,0.00275735641614443,-0.037900511063173,0.0434203457237676
3150,-0.00598803933883887,-0.0424064200978075,0.0333654790279742
3250,-0.0144160887156141,-0.0478550035046172,0.024458983695926
3350,-0.0218019223682962,-0.0531855715560253,0.0138709088694017
3450,-0.0273739362516976,-0.0571701322019204,3.20E-03
3550,-0.0303383844942109,-0.0587080927962398,-0.00402152585231987
3650,-0.0306363913037417,-0.0574093216394469,-0.00657700275658864
3750,-0.0289569414303271,-0.0543940142887047,-0.00578346034759629
3850,-0.0259591817803611,-0.050731810579695,-0.00282526663062277
3950,-0.022203845011717,-0.0463790041902376,0.00166687742564182
4050,-0.018180437457439,-0.0421264312879638,0.00565373233213532
4150,-0.0140861997546358,-0.0373925662867907,0.00908670043583247
4250,-0.0098214824071479,-0.0324351763675976,0.0124910592844575
4350,-0.00523831041431202,-0.0270898110986606,0.0162732283160033
4450,-0.000166849169212182,-0.021535404011005,0.0210914779381324
4550,0.00557031581913819,-0.0155469113991979,0.0273488360887226
4650,0.0119642989759633,-0.00925745881020353,0.0338374131395066
4750,0.0187972256665236,-0.00280384309846789,0.0410228036608569
4850,0.0258022412275839,0.00350215767289888,0.0484291553671879
4950,0.0326893629595014,0.00980967590299396,0.0560035912956847
5050,0.0391181243794985,0.0157103739859338,0.0627979841305076
5150,0.0447392711465712,0.0211603871799106,0.0695579704471879
5250,0.0491993464512074,0.0251408098913396,0.0748357447014945
5350,0.0520364631194397,0.0276221128419411,0.0781690953309576
5450,0.0526364134502315,0.0278966854843032,0.0786186732822333
5550,0.0503374247366458,0.0260956043101366,0.0758256093695157
5650,0.0452479052678657,0.021330975372337,0.0697018753679925
5750,0.038263632488821,0.0149283468541171,0.0619069865788035
5850,0.0303198453962624,0.00665416967729854,0.0532842336052201
5950,0.022222648573504,-0.00172067426534058,0.0455790057554743
6050,0.0146967854881441,-0.00972989337364954,0.0389679951506281
6150,0.00817908381146939,-0.0170528819648605,0.0334039183252629
6250,0.00281944467355061,-0.0236769452919369,0.0296306466426864
6350,-0.00125308313597678,-0.0286936132769439,0.0269912793337371
6450,-0.00390060202369746,-0.0319539701427083,0.0256423031082445
6550,-0.004972426953982,-0.0335413374813028,0.0255409259090396
6650,-0.00429322658668279,-0.0332061862766881,0.0275470466179269
6750,-0.00165366183134744,-0.0313267282079885,0.0302030867133412
6850,0.00317539800240725,-0.0265633295013642,0.0343246582655923
6950,0.0104603920248583,-0.0190084848567528,0.0401051928986607
7050,0.0204440188022874,-0.00794793340742963,0.0486280341970976
7150,0.0327771414465938,0.0058599897895889,0.0604640156126633
7250,0.0464794504097851,0.0193416909278879,0.0741778532318181
7350,0.0604443763388222,0.0316087666366464,0.089921445826898
7450,0.0735023678504081,0.0415460226634933,0.105247105905308
7550,0.0844211768718231,0.0494459351896617,0.118519798241771
7650,0.092802648729586,0.0563476186305198,0.128606984373233
7750,0.0990421863252938,0.0623745017230794,0.135569482991798
7850,0.103393776968437,0.0667065170810834,0.140126895410923
7950,0.105873308448318,0.0697386704273144,0.141736484866719
8050,0.106293565785696,0.0713398731580442,0.141733587047216
8150,0.10515210749175,0.0698404479758554,0.140946172862408
8250,0.103663883859431,0.0673836976334986,0.140258658955385
8350,0.102892091938893,0.0655534621475331,0.140702773792336
8450,0.103713311680584,0.0652291865005209,0.142347288113687
8550,0.106765768189918,0.0680133891723583,0.145130357952977
8650,0.111969941216741,0.0745183153466148,0.149507908941212
8750,0.118550284034792,0.0822992953353987,0.155035928842604
8850,0.125488371806691,0.0891206104168298,0.161868998312609
8950,0.131542718954584,0.0947538641368975,0.168221487690971
9050,0.135301132031138,0.0971564746091029,0.172971245321197
9150,0.136406955037337,0.0980387691686092,0.174447880586269
9250,0.135531167400319,0.0971919753461322,0.173634101022323
9350,0.133142851516913,0.0953368170330731,0.170831998842572
9450,0.129376096096862,0.0926674282114374,0.166177067156233
9550,0.124116167596689,0.0889642118719692,0.159452198621658
9650,0.117807957176387,0.0843444007513247,0.151977079886639
9750,0.111482805656356,0.0783087099201107,0.145102499922266
9850,0.105989112955705,0.0730140967125017,0.139960408670887
9950,0.101943165174582,0.0689094792650991,0.136458809243405
10050,0.0997528021622417,0.0660862100201228,0.133989009183111
10150,0.0996777981974872,0.0655935522030673,0.134412907784871
10250,0.101813717792571,0.0676287109249479,0.136188627279973
10350,0.106047182079375,0.0718167912579023,0.140329606055282
10450,0.112058949639632,0.077508277101781,0.146777174035408
10550,0.119391367185833,0.0841520087203447,0.154255381120512
10650,0.127884417307523,0.0921993998711043,0.163964291724715
10750,0.137608379265554,0.100937802725022,0.174283074686314
10850,0.148402669352483,0.110911402962012,0.185804769739927
10950,0.159842951878124,0.120849034436948,0.198930791222705
11050,0.171281613926693,0.130387539538215,0.212817577287424
11150,0.182605777843107,0.140011113691636,0.225715106091711
11250,0.194195929511696,0.150377595777285,0.239231230212795
11350,0.206112802407174,0.159657353788401,0.252679269969781
11450,0.21799728254753,0.16924759595265,0.266772665662263
11550,0.229114625646739,0.17892819505608,0.279350337537361
11650,0.239182305753876,0.187435918941703,0.291791887524241
11750,0.248335619706688,0.195002672546123,0.302145978069874
11850,0.256252902006817,0.201473069344099,0.312492710123101
11950,0.262060522933876,0.205266823070488,0.319346686405337
12050,0.264421548806433,0.205935433936936,0.322496014301502
12150,0.26304112239902,0.205022032776856,0.320966987456392
12250,0.258639694407121,0.201772575461728,0.316222172088642
12350,0.251490970971728,0.19493479667233,0.308468022869464
12450,0.241266979234383,0.186812346588709,0.296670118490722
12550,0.22721630188963,0.176303713613404,0.279921065521942
12650,0.20993013038188,0.161964057699848,0.259468052470034
12750,0.191340633253092,0.144724237803623,0.23880654847667
12850,0.173049074966034,0.12595696323286,0.220332314428407
12950,0.15628801569372,0.108564086828242,0.204977108684731
13050,0.14190486995588,0.0934245755985591,0.191312191760087
13150,0.130455786994837,0.0816072690165223,0.179983896408802
13250,0.122299411690632,0.0739773322064425,0.17174326212732
13350,0.117556470801114,0.0705626889616247,0.166334075613109
13450,0.116087283454407,0.0710865111590677,0.163079924513288
13550,0.117566184985367,0.0732324826790429,0.163196708156823
13650,0.12178282598889,0.0782704153848364,0.165612586180726
13750,0.128606737091196,0.0858530575668738,0.171234066266538
13850,0.137685825276893,0.095417922934915,0.179808087743017
13950,0.148421423354344,0.106167981574859,0.190996985613646
14050,0.160021846977046,0.117747564794814,0.203097286091369
14150,0.17188743840405,0.128564341944714,0.216041303949239
14250,0.183601578414742,0.13897840200249,0.228216980683355
14350,0.194408149289526,0.148400007694764,0.240332343752022
14450,0.203103222623358,0.155639527636511,0.250620353604128
14550,0.208154368947318,0.160098779255909,0.256633363845383
14650,0.209474464873352,0.16201366924997,0.25680774233667
