Age,Depth,G. bulloides δ18O,G. bulloides δ13C,N. pachyderma s,Qz,Carb detr,Volcanic,Foram,IRD,Terr mine,SST sum,Foram plankt arctic,Foram plankt subpolar,Foram plankt subtropical,Foram plankt subtropica,Foram plankt tropical
15901.000,2.36,2.36,-0.59,71.90,10.12,0.00,0.00,72.64,10.12,22222,6.5,71.90,24.22,3.49,0.39,0.00
15953.000,2.39,1.96,-0.53,71.39,6.95,0.00,5.35,68.98,12.30,28065,6.3,71.39,24.15,4.46,0.00,0.00
16022.000,2.42,2.42,-0.94,78.15,11.41,0.00,0.27,63.04,11.68,16721,6.1,78.15,16.57,4.84,0.44,0.00
16159.000,2.48,2.39,-0.74,77.66,13.86,0.00,0.34,56.47,14.20,5523,5.1,77.66,20.25,2.09,0.00,0.00
16227.000,2.51,2.29,-0.85,81.08,13.92,0.00,0.00,65.40,13.92,24405,4.8,81.08,16.01,2.91,0.00,0.00
16296.000,2.54,2.55,-0.71,82.64,12.44,0.00,0.00,62.83,12.44,14048,5.4,82.64,15.03,2.33,0.00,0.00
16341.000,2.56,2.81,-0.59,,,,,,,,,86.27,12.88,0.85,0.00,0.00
16364.000,2.57,2.57,-0.62,86.27,8.76,0.00,0.00,71.12,8.76,9313,4.7,77.73,16.95,5.17,0.14,0.00
16387.000,2.58,2.81,-0.82,,,,,,,,,85.98,11.93,2.09,0.00,0.00
16433.000,2.60,2.74,-0.72,77.73,10.97,0.00,0.00,72.03,10.97,10373,5.0,89.79,8.54,1.67,0.00,0.00
16479.000,2.62,2.80,-0.72,,,,,,,,,82.34,15.30,2.36,0.00,0.00
16502.000,2.63,2.88,-0.55,85.98,10.09,0.00,0.00,76.67,10.09,33158,4.7,82.34,14.09,3.29,0.27,0.00
16547.000,2.65,3.00,-0.67,,,,,,,,,79.01,17.04,3.83,0.12,0.00
16570.000,2.66,2.64,-0.86,89.79,5.34,0.00,0.36,86.83,5.69,6271,4.4,80.56,15.94,3.51,0.00,0.00
16593.000,2.67,2.91,-0.70,,,,,,,,,76.37,20.63,2.65,0.35,0.00
16639.000,2.69,2.85,-0.69,82.34,5.10,0.00,0.00,83.69,5.10,10000,5.2,74.74,21.86,3.25,0.15,0.00
16707.000,2.72,2.94,-0.71,82.34,3.41,0.00,0.00,89.21,3.41,3192,5.5,79.94,14.86,4.91,0.29,0.00
16730.000,2.73,3.03,-0.68,,,,,,,,,76.81,18.02,5.05,0.11,0.00
16776.000,2.75,2.91,-0.61,79.01,1.34,0.00,0.00,91.75,1.34,10882,4.8,64.24,21.19,14.57,0.00,0.00
