Age,Depth,G. bulloides δ18O,G. bulloides δ13C,N. pachyderma s,Qz,Carb detr,Volcanic,Foram,IRD,Terr mine,SST sum,Foram plankt arctic,Foram plankt subpolar,Foram plankt subtropical,Foram plankt subtropica,Foram plankt tropical
29090.000,6.53,2.53,-0.31,36.50,1.53,0.00,0.00,76.98,1.53,16071,9.1,37.71,42.29,20.00,0.00,0.00
29136.000,6.56,2.56,-0.56,28.37,1.37,0.00,0.00,75.80,1.37,7910,10.6,49.15,32.20,17.29,1.36,0.00
29181.000,6.59,2.42,-0.46,23.53,3.24,0.00,0.18,75.86,3.42,16341,9.9,43.55,40.10,16.01,0.34,0.00
29226.000,6.62,2.93,-0.19,18.69,4.24,0.00,0.00,77.29,4.24,18864,11.5,45.58,38.31,15.72,0.39,0.00
29271.000,6.65,2.86,-0.33,21.85,3.85,0.00,0.00,73.08,3.85,18667,11.1,56.48,35.20,7.93,0.39,0.00
29316.000,6.68,3.14,-0.20,22.49,3.95,0.00,0.00,68.38,3.95,23529,11.4,50.51,37.63,11.43,0.38,0.00
29361.000,6.71,3.08,-0.06,23.82,0.81,0.00,0.16,77.74,0.97,17692,9.8,64.26,26.06,9.29,0.41,0.00
29407.000,6.74,2.99,-0.27,23.98,2.62,0.00,0.00,73.50,2.62,18298,9.8,70.70,21.07,8.23,0.00,0.00
29452.000,6.77,2.46,-0.41,20.89,2.84,0.00,0.09,77.68,2.93,16944,10.6,70.30,22.04,7.39,0.27,0.00
29497.000,6.80,2.68,-0.35,22.73,3.09,0.00,0.00,81.02,3.09,11944,11.0,57.91,28.87,13.04,0.17,0.00
29542.000,6.83,2.51,-0.33,34.31,3.52,0.00,0.00,77.46,3.52,18113,8.7,47.37,39.38,13.26,0.00,0.00
29587.000,6.86,2.88,-0.34,37.71,3.08,0.00,0.36,73.55,3.44,20278,8.9,67.61,21.47,10.73,0.19,0.00
29633.000,6.89,2.91,-0.44,49.15,4.79,0.00,0.40,72.85,5.19,15455,8.4,76.89,19.65,3.46,0.00,0.00
29678.000,6.92,2.73,-0.27,43.55,4.16,0.00,0.44,73.49,4.60,17536,8.8,45.97,40.97,12.92,0.14,0.00
29723.000,6.95,2.86,-0.45,45.58,3.57,0.00,0.13,75.96,3.70,14444,8.5,19.01,58.45,22.54,0.00,0.00
29768.000,6.98,2.93,-0.34,56.48,3.71,0.00,0.41,75.82,4.12,15714,8.2,15.95,55.13,28.70,0.23,0.00
29813.000,7.01,3.02,-0.41,50.51,2.77,0.00,1.04,75.74,3.81,7739,8.2,12.12,53.98,33.14,0.76,0.00
29859.000,7.04,2.87,-0.45,64.26,1.51,0.00,0.70,78.25,2.22,13292,8.0,21.04,49.03,29.54,0.39,0.00
29904.000,7.07,2.88,-0.45,70.70,6.01,0.00,1.00,62.80,7.01,20800,7.5,20.37,40.07,39.06,0.51,0.00
29949.000,7.10,3.02,-0.38,70.30,4.92,0.00,0.98,81.30,5.91,10857,7.2,7.66,56.02,35.58,0.73,0.00
29994.000,7.13,2.88,-0.33,57.91,3.36,0.00,0.42,82.35,3.78,10080,8.1,3.94,62.04,33.80,0.23,0.00
30039.000,7.16,2.76,-0.51,47.37,4.39,0.00,1.57,84.64,5.96,11200,8.5,4.00,54.26,41.39,0.35,0.00
30084.000,7.19,2.86,-0.38,67.61,4.37,0.00,2.31,73.52,6.68,18311,6.3,4.36,55.90,39.74,0.00,0.00
30130.000,7.22,2.71,-0.58,76.89,2.23,0.00,1.05,86.35,3.28,8320,6.4,4.70,53.76,41.35,0.19,0.00
30175.000,7.25,3.21,-0.38,45.97,0.50,0.00,0.88,94.97,1.38,3556,8.5,7.60,55.85,36.34,0.21,0.00
30220.000,7.28,3.10,-0.40,19.01,0.52,0.00,0.00,82.53,0.52,9745,14.6,8.00,51.50,40.50,0.00,0.00
30390.000,7.31,3.11,-0.26,15.95,0.00,0.00,0.00,87.34,0.00,3886,14.7,14.04,49.58,35.70,0.68,0.00
30559.000,7.34,2.87,-0.36,12.12,0.34,0.00,0.00,96.28,0.34,2200,16.0,14.34,53.05,31.24,1.38,0.00
30729.000,7.37,2.67,-0.16,21.04,0.35,0.00,0.00,95.40,0.35,2971,10.1,10.25,52.27,37.14,0.34,0.00
30898.000,7.40,2.58,-0.17,20.37,0.76,0.00,0.00,93.64,0.76,4480,11.5,7.31,50.54,41.08,1.08,0.00
31068.000,7.43,2.44,-0.50,7.66,0.00,0.00,0.00,97.23,0.00,1829,16.2,7.85,48.60,42.80,0.75,0.00
31237.000,7.46,2.62,-0.10,3.94,0.59,0.00,0.00,92.52,0.59,4864,15.8,10.88,48.67,40.04,0.41,0.00
31350.000,7.48,2.71,-0.08,4.00,0.00,0.00,0.00,96.18,0.00,2648,15.6,10.52,48.52,40.96,0.00,0.00
31520.000,7.51,2.73,-0.05,4.36,0.00,0.00,0.00,93.93,0.00,3953,12.2,8.13,46.83,44.25,0.79,0.00
31960.000,7.54,2.87,0.16,4.70,0.00,0.00,0.00,95.25,0.00,2715,16.1,12.65,48.82,37.65,0.88,0.00
32400.000,7.57,2.92,0.05,7.60,0.38,0.00,0.00,96.24,0.38,2370,15.7,13.37,43.81,42.08,0.74,0.00
32840.000,7.60,2.88,-0.36,8.00,0.00,0.00,0.00,98.60,0.00,873,10.7,7.87,53.18,38.81,0.14,0.00
33280.000,7.63,2.73,-0.12,14.04,0.31,0.00,0.00,95.07,0.31,3657,16.0,10.21,49.79,38.51,1.49,0.00
33720.000,7.66,2.82,-0.03,14.34,0.00,0.00,0.00,94.81,0.00,1600,11.5,13.65,51.68,34.00,0.67,0.00
33910.000,7.69,2.77,-0.10,10.25,0.15,0.00,0.00,91.76,0.15,4978,15.8,9.25,58.90,30.48,1.37,0.00
34100.000,7.72,2.79,-0.15,7.31,0.38,0.00,0.00,93.09,0.38,4114,15.7,11.61,48.47,39.31,0.61,0.00
34290.000,7.75,2.65,0.04,7.85,1.30,0.00,0.00,91.87,1.30,5000,15.3,14.83,50.85,33.90,0.21,0.21
34480.000,7.78,2.74,-0.15,10.88,0.37,0.00,0.00,96.25,0.37,2286,10.6,20.29,47.68,30.56,1.47,0.00
34582.000,7.82,2.85,-0.01,10.52,0.80,0.00,0.00,92.34,0.80,4955,17.3,29.03,42.93,27.54,0.50,0.00
34658.000,7.85,2.69,-0.15,8.13,1.72,0.00,0.00,93.46,1.72,4193,19.6,23.57,47.14,28.21,1.07,0.00
34734.000,7.88,2.59,-0.12,12.65,0.77,0.00,0.00,92.82,0.77,3584,12.6,27.23,45.80,25.47,1.53,0.00
34810.000,7.91,2.76,-0.20,13.37,0.00,0.00,0.00,96.44,0.00,2133,15.3,22.35,50.00,26.96,0.69,0.00
34886.000,7.94,2.81,-0.11,7.87,0.27,0.00,0.00,51.83,0.27,70012,17.0,30.65,40.56,28.17,0.62,0.00
34963.000,7.97,2.60,-0.04,10.21,2.77,0.00,0.00,80.92,2.77,18036,16.1,17.77,54.21,27.79,0.23,0.00
35039.000,8.00,2.56,-0.33,13.65,3.59,0.00,0.00,86.36,3.59,15200,16.4,6.96,54.84,37.01,1.19,0.00
35115.000,8.03,2.57,-0.11,9.25,18.30,0.00,0.00,41.24,18.30,60800,15.1,5.37,52.10,39.95,2.57,0.00
35191.000,8.06,2.28,-0.43,11.61,2.99,0.00,0.00,88.06,2.99,4114,16.8,3.60,60.91,32.13,3.36,0.00
35268.000,8.09,2.49,-0.35,14.83,2.73,0.00,0.00,86.71,2.73,4457,15.8,5.19,64.47,27.74,2.40,0.20
35344.000,8.12,2.06,-0.52,20.29,16.83,0.00,0.00,58.91,16.83,55916,11.2,11.99,61.85,25.07,1.09,0.00
35420.000,8.15,2.28,-0.22,29.03,9.67,0.00,0.00,64.21,9.67,30523,9.0,4.79,57.78,36.58,0.85,0.00
35730.000,8.18,2.51,-0.07,23.57,4.61,0.00,0.00,80.49,4.61,15360,11.1,5.30,60.68,32.65,1.37,0.00
35960.000,8.21,2.48,-0.15,27.23,2.63,0.00,0.00,85.83,2.63,11200,10.7,14.08,54.23,30.99,0.70,0.00
36190.000,8.24,2.09,-0.30,22.35,1.73,0.00,0.00,90.38,1.73,7273,11.3,25.66,48.68,23.90,1.75,0.00
36420.000,8.27,2.47,-0.41,30.65,2.40,0.00,0.00,91.47,2.40,7314,8.9,25.97,48.61,24.49,0.93,0.00
36650.000,8.30,1.54,-0.54,17.77,4.80,0.00,0.00,84.34,4.80,11733,14.7,55.45,32.35,11.28,0.92,0.00
36880.000,8.33,1.47,-0.98,6.96,1.74,0.00,0.00,91.61,1.74,5800,11.1,76.15,16.39,7.45,0.00,0.00
37026.000,8.36,2.41,-0.33,5.37,2.99,0.00,0.00,90.82,2.99,5662,13.5,72.33,20.04,6.97,0.65,0.00
37173.000,8.39,2.00,-0.54,3.60,0.78,0.00,0.00,88.26,0.78,6400,15.3,78.59,16.44,4.59,0.38,0.00
37319.000,8.42,2.20,-0.12,5.19,1.77,0.00,0.00,93.26,1.77,5600,13.9,84.84,13.41,1.76,0.00,0.00
37465.000,8.45,2.30,0.00,11.99,2.21,0.00,0.00,90.71,2.21,4800,10.4,83.72,12.21,4.07,0.00,0.00
37612.000,8.48,2.38,0.02,4.79,2.16,0.00,0.00,82.23,2.16,11200,12.4,60.14,31.67,7.83,0.36,0.00
37758.000,8.51,2.16,-0.26,5.30,3.19,0.00,0.00,85.46,3.19,22800,14.7,54.78,36.36,8.85,0.00,0.00
37905.000,8.54,2.30,-0.29,14.08,1.38,0.00,0.00,93.32,1.38,4185,14.6,64.08,27.70,7.98,0.23,0.00
38051.000,8.57,2.75,-0.37,25.66,7.01,0.00,0.00,76.43,7.01,26311,9.3,54.60,31.70,13.50,0.20,0.00
38197.000,8.60,2.91,-0.65,25.97,6.70,0.00,0.00,78.66,6.70,13867,10.4,23.63,44.28,31.59,0.50,0.00
38344.000,8.63,2.90,-0.34,55.45,9.83,0.00,0.00,70.27,9.83,24200,8.2,16.85,52.52,29.76,0.88,0.00
38490.000,8.66,2.51,-0.09,76.15,12.56,0.00,0.27,63.32,12.83,36089,6.9,9.29,48.36,42.35,0.00,0.00
38668.000,8.69,2.84,-0.31,72.33,10.17,0.00,0.00,62.19,10.17,17185,7.5,7.42,44.12,46.60,1.86,0.00
38846.000,8.72,2.76,-0.33,78.59,19.30,1.09,0.00,43.13,20.39,43141,6.9,3.66,47.40,48.52,0.42,0.00
39023.000,8.75,2.87,-0.42,84.84,17.45,0.65,0.22,51.36,18.32,35680,5.8,6.10,41.06,52.85,0.00,0.00
39201.000,8.78,2.83,-0.31,83.72,32.68,0.87,0.00,12.75,33.55,30578,5.6,5.09,48.00,46.18,0.73,0.00
39379.000,8.81,2.88,-0.44,60.14,30.70,0.00,0.00,9.76,30.70,34544,8.1,5.67,52.84,40.90,0.60,0.00
39513.000,8.84,3.17,-0.45,54.78,18.98,0.00,0.00,35.09,18.98,15883,8.2,4.28,65.78,29.95,0.00,0.00
39648.000,8.87,3.01,-0.58,64.08,12.43,0.00,0.00,65.82,12.43,24200,8.1,5.72,53.41,40.33,0.54,0.00
39782.000,8.90,2.98,-0.33,54.60,4.70,0.00,0.00,75.21,4.70,11600,8.2,11.15,52.50,36.03,0.32,0.00
39916.000,8.93,2.86,-0.25,23.63,1.06,0.00,0.00,89.79,1.06,5908,12.0,11.58,61.58,26.55,0.28,0.00
40050.000,8.96,2.96,-0.48,16.85,2.05,0.00,0.00,89.57,2.05,7467,15.5,19.77,60.76,19.48,0.00,0.00
40140.000,8.98,2.56,-0.22,9.29,0.00,0.00,0.00,100.00,0.00,0,17.6,8.42,61.32,30.26,0.00,0.00
40233.000,9.00,,,,,,,,,,,3.75,50.13,45.58,0.54,0.00
40327.000,9.02,2.61,-0.08,7.42,0.39,0.00,0.00,97.24,0.39,2036,18.7,4.49,58.80,35.58,1.12,0.00
40467.000,9.05,2.54,-0.20,3.66,0.64,0.00,0.00,96.13,0.64,2286,18.9,3.78,64.78,30.58,0.86,0.00
40607.000,9.08,2.42,-0.14,6.10,7.20,0.00,0.00,79.83,7.20,11200,19.3,12.25,55.96,30.06,0.33,0.00
40653.000,9.09,2.37,-0.02,,,,,,,,,6.89,45.51,47.60,0.00,0.00
40747.000,9.11,2.70,-0.07,5.09,1.79,0.00,0.00,88.10,1.79,10667,19.0,19.43,44.08,36.02,0.47,0.00
40887.000,9.14,1.50,-0.71,5.67,1.09,0.00,0.00,83.81,1.09,7400,18.8,5.26,60.66,33.66,0.42,0.00
41027.000,9.17,2.01,-0.36,4.28,1.41,0.00,0.00,78.80,1.41,13714,13.4,11.79,45.25,42.59,0.00,0.38
41167.000,9.20,2.13,-0.37,5.72,1.47,0.00,0.00,85.68,1.47,7771,10.6,6.06,53.41,40.15,0.38,0.00
41260.000,9.22,2.21,-0.49,11.15,0.40,0.00,0.00,89.45,0.40,6400,13.0,6.45,57.14,35.48,0.92,0.00
41400.000,9.25,2.52,-0.76,11.58,0.73,0.00,0.00,92.25,0.73,10240,10.6,6.93,55.84,36.80,0.43,0.00
41540.000,9.28,2.67,-0.71,19.77,2.71,0.00,0.00,90.15,2.71,10667,9.6,1.43,45.52,51.97,1.08,0.00
41733.000,9.32,2.49,-0.40,8.42,0.60,0.00,0.00,83.47,0.60,9371,15.1,4.00,64.00,31.00,1.00,0.00
41877.000,9.35,2.30,-0.42,3.75,1.65,0.00,0.00,94.81,1.65,3520,17.1,2.52,59.12,38.36,0.00,0.00
42022.000,9.38,2.14,-0.30,4.49,0.32,0.00,0.00,91.72,0.32,4160,17.3,0.23,57.14,41.92,0.70,0.00
42166.000,9.41,2.35,-0.79,3.78,0.13,0.00,0.00,80.36,0.13,7600,15.6,1.27,57.96,40.13,0.64,0.00
42311.000,9.44,2.35,-0.53,12.25,0.00,0.00,0.00,98.79,0.00,800,10.3,1.01,56.08,41.89,1.01,0.00
42455.000,9.47,1.97,-0.37,6.89,0.50,0.00,0.00,92.54,0.50,3429,19.1,0.58,48.55,49.71,1.16,0.00
42600.000,9.50,2.29,-0.89,19.43,1.02,0.00,0.00,93.87,1.02,3429,11.8,1.83,58.54,39.02,0.61,0.00
42708.000,9.53,1.89,-0.56,5.26,0.50,0.00,0.00,96.75,0.50,1891,16.7,11.82,55.45,27.58,5.15,0.00
42816.000,9.56,2.23,-0.99,11.79,0.00,0.00,0.00,95.92,0.00,1920,17.6,26.32,52.35,20.48,0.85,0.00
42924.000,9.59,2.40,-0.68,6.06,0.00,0.00,0.00,96.69,0.00,1600,18.4,28.13,53.62,17.43,0.82,0.00
43032.000,9.62,2.49,-0.90,6.45,0.40,0.00,0.00,92.80,0.40,1800,16.2,28.09,56.98,14.13,0.80,0.00
43140.000,9.65,2.63,-0.30,6.93,4.21,0.00,0.00,83.82,4.21,5000,11.2,24.17,53.32,21.40,1.11,0.00
43376.000,9.68,2.15,-0.32,1.43,1.37,0.00,0.00,84.11,1.37,7733,,64.76,28.83,5.95,0.46,0.00
43612.000,9.71,2.14,-0.33,4.00,0.00,0.00,0.00,98.28,0.00,600,16.5,75.00,17.41,7.59,0.00,0.00
43848.000,9.74,1.75,-0.45,2.52,1.27,0.00,0.00,86.50,1.27,3200,17.1,68.18,25.54,5.63,0.65,0.00
44084.000,9.77,2.06,-0.49,0.23,0.00,0.00,0.00,95.77,0.00,1760,18.3,65.44,25.07,9.23,0.26,0.00
44320.000,9.80,1.68,-0.16,1.27,0.00,0.00,0.00,97.78,0.00,1280,17.0,39.82,47.14,12.59,0.46,0.00
44556.000,9.83,1.64,-0.19,1.01,0.00,0.00,0.00,97.24,0.00,1333,16.9,16.71,62.40,20.89,0.00,0.00
44792.000,9.86,1.46,-0.66,0.58,0.00,0.00,0.00,96.46,0.00,2133,19.1,5.02,59.82,34.70,0.46,0.00
45028.000,9.89,1.93,-0.99,1.83,0.00,0.00,0.00,97.50,0.00,1143,15.1,2.80,65.90,31.04,0.25,0.00
45264.000,9.92,2.17,-0.53,11.82,0.95,0.00,0.00,85.31,0.95,7086,11.8,0.55,65.02,33.70,0.73,0.00
45500.000,9.95,2.52,-0.53,26.32,3.56,0.00,0.00,81.99,3.56,22933,9.7,0.27,60.32,38.87,0.54,0.00
45830.000,9.98,2.86,-0.22,28.13,1.06,0.00,0.00,85.85,1.06,7385,9.4,0.74,56.65,41.87,0.74,0.00
46160.000,10.01,2.35,-0.68,28.09,0.95,0.00,0.00,85.97,0.95,9440,9.6,1.37,50.17,47.10,1.37,0.00
46244.000,10.04,2.87,-0.46,24.17,2.82,0.00,0.00,86.35,2.82,18400,9.9,0.37,54.78,43.75,1.10,0.00
46329.000,10.07,2.88,-0.42,64.76,4.99,0.00,0.00,61.52,4.99,16200,8.1,1.15,49.66,48.05,1.15,0.00
46413.000,10.10,3.01,-0.45,75.00,7.70,0.00,0.00,58.59,7.70,25800,7.4,0.42,57.89,40.17,1.52,0.00
46498.000,10.13,2.43,-0.38,68.18,9.08,0.00,0.00,74.40,9.08,17200,6.1,3.67,59.94,35.47,0.92,0.00
46582.000,10.16,2.64,-0.18,65.44,17.46,0.00,0.00,53.72,17.46,27360,7.5,1.24,61.94,35.57,1.24,0.00
46667.000,10.19,2.79,-0.35,39.82,16.00,0.00,0.00,53.01,16.00,15055,8.7,1.19,61.31,35.52,1.98,0.00
46751.000,10.22,2.73,-0.06,16.71,3.33,0.00,0.00,85.37,3.33,8123,9.9,0.54,66.79,29.98,2.69,0.00
46836.000,10.25,2.28,-0.04,5.02,9.55,0.00,0.00,72.47,9.55,18447,11.2,0.00,69.71,29.90,0.39,0.00
46920.000,10.28,2.29,-0.30,2.80,1.87,0.00,0.00,88.77,1.87,6646,15.7,0.48,76.79,22.25,0.48,0.00
47282.000,10.31,2.18,-0.35,0.55,0.32,0.00,0.00,92.65,0.32,3680,15.6,1.86,68.44,28.65,1.06,0.00
47643.000,10.34,2.29,-0.21,0.27,6.74,0.00,0.00,80.90,6.74,2550,11.0,3.57,70.81,23.14,2.48,0.00
48005.000,10.37,1.92,-0.24,0.74,1.28,0.00,0.00,91.49,1.28,3556,14.9,13.35,64.41,20.64,1.60,0.00
48367.000,10.40,1.96,-0.33,1.37,1.15,0.00,0.00,91.35,1.15,1091,18.8,13.31,59.71,25.72,1.26,0.00
48728.000,10.43,2.15,-0.55,0.37,0.76,0.00,0.00,89.31,0.76,1806,18.8,18.29,63.57,16.92,1.22,0.00
49090.000,10.46,1.85,-0.44,1.15,0.81,0.00,0.00,94.30,0.81,2987,,16.74,59.23,22.10,1.93,0.00
49410.000,10.49,2.10,-0.35,0.42,0.35,0.00,0.00,87.51,0.35,6646,17.4,28.13,51.81,16.43,3.62,0.00
49730.000,10.52,2.23,-0.33,3.67,1.93,0.00,0.00,85.06,1.93,2362,17.4,18.34,63.17,17.32,1.16,0.00
50050.000,10.55,1.98,-0.42,1.24,1.92,0.00,0.00,93.16,1.92,1280,11.3,21.21,51.14,26.40,1.25,0.00
50369.000,10.58,1.94,-0.37,1.19,1.20,0.00,0.00,95.54,1.20,2600,16.5,8.22,61.04,28.31,2.44,0.00
50689.000,10.61,2.02,-0.09,0.54,0.74,0.00,0.00,92.27,0.74,3782,12.7,1.93,59.52,35.90,2.65,0.00
51009.000,10.64,1.34,-0.71,0.00,0.31,0.00,0.00,95.30,0.31,2667,13.0,2.06,52.52,41.74,3.67,0.00
51291.000,10.67,1.49,-0.37,0.48,0.36,0.00,0.00,88.02,0.36,7040,13.8,1.44,61.44,33.26,3.87,0.00
51573.000,10.70,1.49,-0.49,1.86,0.82,0.00,0.00,89.32,0.82,7564,11.5,2.40,67.60,26.80,3.20,0.00
51856.000,10.73,1.52,-0.58,3.57,0.51,0.00,0.00,92.14,0.51,4509,13.6,1.70,64.36,30.27,3.68,0.00
52138.000,10.76,1.36,-0.75,13.35,1.92,0.00,0.00,84.09,1.92,9768,12.1,2.38,65.77,28.57,3.27,0.00
52420.000,10.79,1.91,-0.58,13.31,1.89,0.00,0.00,86.07,1.89,10240,10.0,8.72,62.71,26.17,2.41,0.00
52927.000,10.82,2.00,-0.65,18.29,1.43,0.00,0.00,90.14,1.43,5527,9.3,16.74,62.45,20.39,0.43,0.00
53433.000,10.85,2.12,-0.85,16.74,2.17,0.00,0.00,86.33,2.17,9371,9.7,9.77,67.86,21.24,1.13,0.00
53940.000,10.88,2.33,-0.81,28.13,0.45,0.00,0.00,86.32,0.45,6971,9.5,8.38,63.97,24.58,3.07,0.00
54447.000,10.91,2.35,-0.79,18.34,0.37,0.00,0.00,92.76,0.37,3314,9.6,27.01,54.92,17.53,0.54,0.00
54953.000,10.94,2.21,-0.76,21.21,0.90,0.00,0.00,93.51,0.90,4114,10.9,27.49,47.89,21.92,2.70,0.00
55460.000,10.97,1.66,-0.93,8.22,1.87,0.00,0.00,91.78,1.87,4800,14.7,53.89,37.24,8.87,0.00,0.00
55671.000,11.00,1.64,-1.35,1.93,0.20,0.00,0.00,95.14,0.20,2400,17.8,49.00,42.20,8.80,0.00,0.00
55883.000,11.03,1.67,-0.84,2.06,1.63,0.00,0.00,64.67,1.63,18087,,83.55,14.05,2.22,0.18,0.00
56094.000,11.06,1.59,-0.71,1.44,0.00,0.00,0.00,98.21,0.00,1108,17.8,76.18,20.03,3.66,0.13,0.00
56306.000,11.09,1.78,-1.28,2.40,0.92,0.00,0.00,95.40,0.92,3200,11.3,69.83,27.63,2.20,0.34,0.00
56517.000,11.12,2.18,-0.73,1.70,0.76,0.00,0.00,97.46,0.76,1455,17.3,70.00,24.64,4.29,1.07,0.00
56729.000,11.15,2.27,-0.70,2.38,0.39,0.00,0.00,94.47,0.39,3733,11.3,82.22,13.20,4.23,0.35,0.00
56940.000,11.18,2.43,-0.81,8.72,0.54,0.00,0.00,96.23,0.54,2240,10.5,72.12,23.04,4.84,0.00,0.00
57400.000,11.21,2.29,-0.66,16.74,2.36,0.00,0.00,92.36,2.36,4800,14.1,71.68,21.99,6.33,0.00,0.00
57860.000,11.24,2.63,-0.77,9.77,1.99,0.00,0.00,94.04,1.99,3600,14.3,78.03,17.25,4.18,0.54,0.00
58320.000,11.27,2.30,-0.98,8.38,5.86,0.00,0.00,82.22,5.86,6400,16.0,76.70,18.14,5.01,0.15,0.00
58544.000,11.30,2.49,-0.61,27.01,5.50,0.00,0.00,81.74,5.50,7771,9.3,75.24,17.90,6.57,0.28,0.00
58768.000,11.33,2.36,-1.06,27.49,7.70,0.00,0.25,78.14,7.95,11733,9.6,80.86,12.22,6.91,0.00,0.00
58992.000,11.36,2.59,-0.55,53.89,8.44,0.00,0.08,65.41,8.52,28133,8.5,63.18,25.52,10.67,0.63,0.00
59216.000,11.39,2.24,-1.06,49.00,15.58,0.00,0.00,56.02,15.58,29733,8.6,42.00,36.89,20.42,0.46,0.23
59440.000,11.42,2.47,-0.65,83.55,28.15,0.00,0.00,33.15,28.15,48160,5.5,31.50,46.52,21.79,0.18,0.00
59610.000,11.45,2.13,-1.15,76.18,15.15,0.00,0.00,57.96,15.15,33943,7.0,6.90,54.33,38.77,0.00,0.00
59779.000,11.48,2.15,-0.02,69.83,5.45,0.00,0.00,65.45,5.45,19543,8.1,11.00,58.90,30.10,0.00,0.00
59949.000,11.51,2.08,-1.39,70.00,15.58,0.00,0.00,50.15,15.58,13440,6.4,8.56,66.78,24.42,0.23,0.00
60119.000,11.54,2.49,-0.95,82.22,7.77,0.00,0.00,79.20,7.77,11067,5.9,6.63,65.24,27.84,0.29,0.00
60289.000,11.57,2.66,-1.13,72.12,12.75,0.00,0.00,65.22,12.75,9710,7.0,23.97,53.51,22.31,0.21,0.00
60458.000,11.60,2.55,-0.89,71.68,7.14,0.00,0.00,78.13,7.14,13067,6.2,28.18,48.64,22.84,0.34,0.00
60628.000,11.63,2.97,-0.88,78.03,4.56,0.00,0.00,81.14,4.56,12400,5.4,9.80,55.52,34.68,0.00,0.00
60780.000,11.66,2.87,-0.80,76.70,3.79,0.00,0.00,83.26,3.79,7500,7.4,46.45,39.89,13.66,0.00,0.00
60932.000,11.69,2.63,-0.72,75.24,5.43,0.00,0.00,73.14,5.43,22560,5.1,14.19,57.67,28.15,0.00,0.00
61084.000,11.72,2.31,-0.52,80.86,1.86,0.00,0.19,80.11,2.04,12229,5.9,10.43,56.82,31.94,0.80,0.00
61236.000,11.75,1.85,-0.44,63.18,15.75,0.00,0.00,55.65,15.75,22827,8.1,7.21,57.49,35.12,0.18,0.00
61388.000,11.78,2.11,-0.66,42.00,2.88,0.00,0.00,76.12,2.88,13280,8.9,3.78,55.52,40.70,0.00,0.00
61540.000,11.81,2.09,-0.69,31.50,2.93,0.00,0.00,89.74,2.93,4308,8.9,4.01,56.62,38.85,0.52,0.00
61692.000,11.84,1.80,-0.79,6.90,1.40,0.00,0.00,89.47,1.40,7200,11.4,2.35,65.17,31.90,0.59,0.00
61844.000,11.87,1.89,-0.56,11.00,0.56,0.00,0.00,93.27,0.56,4800,10.7,2.08,59.72,37.59,0.61,0.00
61996.000,11.90,1.59,-0.67,8.56,0.10,0.00,0.00,95.89,0.10,2909,10.5,0.96,66.15,31.82,1.08,0.00
62148.000,11.93,2.30,-0.62,6.63,1.29,0.00,0.00,94.59,1.29,3360,10.8,0.97,63.45,34.41,1.17,0.00
62300.000,11.96,2.45,-0.53,23.97,1.68,0.00,0.17,87.25,1.85,5067,9.8,4.20,66.41,28.63,0.76,0.00
62442.000,11.98,2.20,-0.83,28.18,0.69,0.00,0.00,82.71,0.69,6667,8.8,1.52,61.44,36.79,0.25,0.00
62725.000,12.02,2.16,-1.00,9.80,0.44,0.00,0.00,98.24,0.44,600,10.6,1.69,61.60,35.86,0.84,0.00
62938.000,12.05,2.57,-0.51,46.45,0.69,0.00,0.00,71.23,0.69,10000,8.7,1.23,58.95,38.95,0.88,0.00
63150.000,12.08,2.15,-0.57,14.19,1.03,0.00,0.00,97.11,1.03,933,10.6,2.79,54.55,42.05,0.62,0.00
63363.000,12.11,2.35,-0.39,10.43,0.26,0.00,0.00,92.45,0.26,2729,14.8,2.20,59.65,36.99,1.16,0.00
63575.000,12.14,2.25,-0.71,7.21,0.00,0.00,0.00,98.35,0.00,1000,15.7,2.17,65.46,32.37,0.00,0.00
63788.000,12.17,2.08,-0.66,3.78,0.25,0.00,0.00,98.02,0.25,457,12.2,9.41,58.39,31.51,0.68,0.00
64000.000,12.20,2.06,-0.62,4.01,0.00,0.00,0.00,95.65,0.00,2987,13.6,9.64,67.51,21.83,1.02,0.00
64295.000,12.23,2.23,-0.44,2.35,0.18,0.00,0.00,97.89,0.18,171,13.2,4.63,58.06,36.33,0.98,0.00
64591.000,12.26,2.01,-0.66,2.08,0.08,0.00,0.00,96.92,0.08,3200,11.3,3.09,58.79,36.57,1.55,0.00
64886.000,12.29,2.04,-0.45,0.96,0.00,0.00,0.00,97.29,0.00,630,13.0,2.57,66.08,29.74,1.61,0.00
65182.000,12.32,1.96,-0.18,0.97,0.00,0.00,0.00,98.74,0.00,315,13.3,3.07,56.69,37.79,2.45,0.00
65477.000,12.35,1.92,-0.22,4.20,0.32,0.00,0.00,90.97,0.32,1792,15.9,2.36,57.23,38.97,1.44,0.00
65773.000,12.38,1.91,-0.27,1.52,0.00,0.00,0.00,94.09,0.00,2541,15.4,5.99,60.88,32.60,0.53,0.00
66068.000,12.41,1.80,-0.24,1.69,0.00,0.00,0.00,88.41,0.00,10995,17.1,9.35,57.19,31.92,1.53,0.00
66364.000,12.44,1.79,-0.11,1.23,0.81,0.00,0.00,96.76,0.81,1730,13.7,4.78,56.80,35.66,2.76,0.00
66659.000,12.47,1.81,-0.10,2.79,0.00,0.00,0.00,96.96,0.00,8031,17.7,1.62,58.52,36.50,3.36,0.00
66955.000,12.50,1.52,-0.08,2.20,0.21,0.00,0.00,95.60,0.21,2800,17.2,1.54,55.72,40.92,1.83,0.00
